dataset,model,detector,treatment,run,fold,score
phoneme,xgboost,ZScore,clip,0,0,0.8930635838150289
phoneme,xgboost,ZScore,clip,0,1,0.9161849710982659
phoneme,xgboost,ZScore,clip,0,2,0.8959537572254336
phoneme,xgboost,ZScore,clip,0,3,0.8872832369942196
phoneme,xgboost,ZScore,clip,0,4,0.8988439306358381
phoneme,xgboost,ZScore,clip,0,5,0.8988439306358381
phoneme,xgboost,ZScore,clip,0,6,0.884393063583815
phoneme,xgboost,ZScore,clip,0,7,0.8901734104046243
phoneme,xgboost,ZScore,clip,0,8,0.8840579710144928
phoneme,xgboost,ZScore,clip,0,9,0.8782608695652174
phoneme,xgboost,ZScore,clip,1,0,0.8786127167630058
phoneme,xgboost,ZScore,clip,1,1,0.8901734104046243
phoneme,xgboost,ZScore,clip,1,2,0.8959537572254336
phoneme,xgboost,ZScore,clip,1,3,0.884393063583815
phoneme,xgboost,ZScore,clip,1,4,0.8988439306358381
phoneme,xgboost,ZScore,clip,1,5,0.869942196531792
phoneme,xgboost,ZScore,clip,1,6,0.8786127167630058
phoneme,xgboost,ZScore,clip,1,7,0.9104046242774566
phoneme,xgboost,ZScore,clip,1,8,0.9014492753623189
phoneme,xgboost,ZScore,clip,1,9,0.8840579710144928
phoneme,xgboost,ZScore,clip,2,0,0.8988439306358381
phoneme,xgboost,ZScore,clip,2,1,0.8988439306358381
phoneme,xgboost,ZScore,clip,2,2,0.8930635838150289
phoneme,xgboost,ZScore,clip,2,3,0.8641618497109826
phoneme,xgboost,ZScore,clip,2,4,0.9104046242774566
phoneme,xgboost,ZScore,clip,2,5,0.9017341040462428
phoneme,xgboost,ZScore,clip,2,6,0.9075144508670521
phoneme,xgboost,ZScore,clip,2,7,0.9017341040462428
phoneme,xgboost,ZScore,clip,2,8,0.8724637681159421
phoneme,xgboost,ZScore,clip,2,9,0.8666666666666667
