dataset,model,detector,treatment,run,fold,score
phoneme,xgboost,ZScore,remove,0,0,0.8872832369942196
phoneme,xgboost,ZScore,remove,0,1,0.8930635838150289
phoneme,xgboost,ZScore,remove,0,2,0.8786127167630058
phoneme,xgboost,ZScore,remove,0,3,0.8757225433526011
phoneme,xgboost,ZScore,remove,0,4,0.8901734104046243
phoneme,xgboost,ZScore,remove,0,5,0.8930635838150289
phoneme,xgboost,ZScore,remove,0,6,0.8757225433526011
phoneme,xgboost,ZScore,remove,0,7,0.8815028901734104
phoneme,xgboost,ZScore,remove,0,8,0.8753623188405797
phoneme,xgboost,ZScore,remove,0,9,0.8869565217391304
phoneme,xgboost,ZScore,remove,1,0,0.8988439306358381
phoneme,xgboost,ZScore,remove,1,1,0.8930635838150289
phoneme,xgboost,ZScore,remove,1,2,0.8815028901734104
phoneme,xgboost,ZScore,remove,1,3,0.8959537572254336
phoneme,xgboost,ZScore,remove,1,4,0.8901734104046243
phoneme,xgboost,ZScore,remove,1,5,0.8583815028901735
phoneme,xgboost,ZScore,remove,1,6,0.8815028901734104
phoneme,xgboost,ZScore,remove,1,7,0.8959537572254336
phoneme,xgboost,ZScore,remove,1,8,0.9014492753623189
phoneme,xgboost,ZScore,remove,1,9,0.8695652173913043
phoneme,xgboost,ZScore,remove,2,0,0.8930635838150289
phoneme,xgboost,ZScore,remove,2,1,0.884393063583815
phoneme,xgboost,ZScore,remove,2,2,0.8815028901734104
phoneme,xgboost,ZScore,remove,2,3,0.8930635838150289
phoneme,xgboost,ZScore,remove,2,4,0.8988439306358381
phoneme,xgboost,ZScore,remove,2,5,0.8728323699421965
phoneme,xgboost,ZScore,remove,2,6,0.9190751445086706
phoneme,xgboost,ZScore,remove,2,7,0.8988439306358381
phoneme,xgboost,ZScore,remove,2,8,0.8724637681159421
phoneme,xgboost,ZScore,remove,2,9,0.8608695652173913
