dataset,model,detector,treatment,run,fold,score
pol,mlp,IsolationForest,remove,0,0,0.9860681114551083
pol,mlp,IsolationForest,remove,0,1,0.9690402476780186
pol,mlp,IsolationForest,remove,0,2,0.9844961240310077
pol,mlp,IsolationForest,remove,0,3,0.9782945736434109
pol,mlp,IsolationForest,remove,0,4,0.9891472868217054
pol,mlp,IsolationForest,remove,0,5,0.9829457364341085
pol,mlp,IsolationForest,remove,0,6,0.9813953488372092
pol,mlp,IsolationForest,remove,0,7,0.993798449612403
pol,mlp,IsolationForest,remove,0,8,0.9767441860465116
pol,mlp,IsolationForest,remove,0,9,0.9922480620155039
pol,mlp,IsolationForest,remove,1,0,0.9845201238390093
pol,mlp,IsolationForest,remove,1,1,0.9907120743034056
pol,mlp,IsolationForest,remove,1,2,0.9844961240310077
pol,mlp,IsolationForest,remove,1,3,0.9891472868217054
pol,mlp,IsolationForest,remove,1,4,0.9813953488372092
pol,mlp,IsolationForest,remove,1,5,0.9813953488372092
pol,mlp,IsolationForest,remove,1,6,0.9829457364341085
pol,mlp,IsolationForest,remove,1,7,0.9813953488372092
pol,mlp,IsolationForest,remove,1,8,0.9844961240310077
pol,mlp,IsolationForest,remove,1,9,0.9767441860465116
pol,mlp,IsolationForest,remove,2,0,0.9845201238390093
pol,mlp,IsolationForest,remove,2,1,0.9845201238390093
pol,mlp,IsolationForest,remove,2,2,0.9829457364341085
pol,mlp,IsolationForest,remove,2,3,0.9844961240310077
pol,mlp,IsolationForest,remove,2,4,0.9829457364341085
pol,mlp,IsolationForest,remove,2,5,0.9829457364341085
pol,mlp,IsolationForest,remove,2,6,0.9813953488372092
pol,mlp,IsolationForest,remove,2,7,0.986046511627907
pol,mlp,IsolationForest,remove,2,8,0.9829457364341085
pol,mlp,IsolationForest,remove,2,9,0.9844961240310077
