dataset,model,detector,treatment,run,fold,score
pol,mlp,LOF,remove,0,0,0.9829721362229102
pol,mlp,LOF,remove,0,1,0.9705882352941176
pol,mlp,LOF,remove,0,2,0.9813953488372092
pol,mlp,LOF,remove,0,3,0.9829457364341085
pol,mlp,LOF,remove,0,4,0.9844961240310077
pol,mlp,LOF,remove,0,5,0.986046511627907
pol,mlp,LOF,remove,0,6,0.9798449612403101
pol,mlp,LOF,remove,0,7,0.986046511627907
pol,mlp,LOF,remove,0,8,0.9844961240310077
pol,mlp,LOF,remove,0,9,0.9798449612403101
pol,mlp,LOF,remove,1,0,0.978328173374613
pol,mlp,LOF,remove,1,1,0.9876160990712074
pol,mlp,LOF,remove,1,2,0.9798449612403101
pol,mlp,LOF,remove,1,3,0.986046511627907
pol,mlp,LOF,remove,1,4,0.9813953488372092
pol,mlp,LOF,remove,1,5,0.9705426356589147
pol,mlp,LOF,remove,1,6,0.9798449612403101
pol,mlp,LOF,remove,1,7,0.9813953488372092
pol,mlp,LOF,remove,1,8,0.9782945736434109
pol,mlp,LOF,remove,1,9,0.9798449612403101
pol,mlp,LOF,remove,2,0,0.9829721362229102
pol,mlp,LOF,remove,2,1,0.9736842105263158
pol,mlp,LOF,remove,2,2,0.9829457364341085
pol,mlp,LOF,remove,2,3,0.9813953488372092
pol,mlp,LOF,remove,2,4,0.9767441860465116
pol,mlp,LOF,remove,2,5,0.9782945736434109
pol,mlp,LOF,remove,2,6,0.9813953488372092
pol,mlp,LOF,remove,2,7,0.9798449612403101
pol,mlp,LOF,remove,2,8,0.9829457364341085
pol,mlp,LOF,remove,2,9,0.9798449612403101
