dataset,model,detector,treatment,run,fold,score
pol,mlp,Percentile,remove,0,0,0.8235294117647058
pol,mlp,Percentile,remove,0,1,0.8126934984520123
pol,mlp,Percentile,remove,0,2,0.7875968992248062
pol,mlp,Percentile,remove,0,3,0.8155038759689922
pol,mlp,Percentile,remove,0,4,0.8108527131782945
pol,mlp,Percentile,remove,0,5,0.8201550387596899
pol,mlp,Percentile,remove,0,6,0.8031007751937984
pol,mlp,Percentile,remove,0,7,0.8108527131782945
pol,mlp,Percentile,remove,0,8,0.8263565891472868
pol,mlp,Percentile,remove,0,9,0.8263565891472868
pol,mlp,Percentile,remove,1,0,0.8297213622291022
pol,mlp,Percentile,remove,1,1,0.8297213622291022
pol,mlp,Percentile,remove,1,2,0.7906976744186046
pol,mlp,Percentile,remove,1,3,0.8031007751937984
pol,mlp,Percentile,remove,1,4,0.813953488372093
pol,mlp,Percentile,remove,1,5,0.8155038759689922
pol,mlp,Percentile,remove,1,6,0.8108527131782945
pol,mlp,Percentile,remove,1,7,0.8403100775193798
pol,mlp,Percentile,remove,1,8,0.8046511627906977
pol,mlp,Percentile,remove,1,9,0.8108527131782945
pol,mlp,Percentile,remove,2,0,0.8281733746130031
pol,mlp,Percentile,remove,2,1,0.8142414860681114
pol,mlp,Percentile,remove,2,2,0.8031007751937984
pol,mlp,Percentile,remove,2,3,0.8155038759689922
pol,mlp,Percentile,remove,2,4,0.8
pol,mlp,Percentile,remove,2,5,0.8201550387596899
pol,mlp,Percentile,remove,2,6,0.8015503875968992
pol,mlp,Percentile,remove,2,7,0.8186046511627907
pol,mlp,Percentile,remove,2,8,0.8
pol,mlp,Percentile,remove,2,9,0.8372093023255814
