dataset,model,detector,treatment,run,fold,score
pol,mlp,ZScore,clip,0,0,0.9829721362229102
pol,mlp,ZScore,clip,0,1,0.9736842105263158
pol,mlp,ZScore,clip,0,2,0.9813953488372092
pol,mlp,ZScore,clip,0,3,0.9813953488372092
pol,mlp,ZScore,clip,0,4,0.9891472868217054
pol,mlp,ZScore,clip,0,5,0.9829457364341085
pol,mlp,ZScore,clip,0,6,0.9798449612403101
pol,mlp,ZScore,clip,0,7,0.9922480620155039
pol,mlp,ZScore,clip,0,8,0.9829457364341085
pol,mlp,ZScore,clip,0,9,0.986046511627907
pol,mlp,ZScore,clip,1,0,0.9845201238390093
pol,mlp,ZScore,clip,1,1,0.9860681114551083
pol,mlp,ZScore,clip,1,2,0.986046511627907
pol,mlp,ZScore,clip,1,3,0.986046511627907
pol,mlp,ZScore,clip,1,4,0.9767441860465116
pol,mlp,ZScore,clip,1,5,0.9844961240310077
pol,mlp,ZScore,clip,1,6,0.9813953488372092
pol,mlp,ZScore,clip,1,7,0.9798449612403101
pol,mlp,ZScore,clip,1,8,0.9798449612403101
pol,mlp,ZScore,clip,1,9,0.9813953488372092
pol,mlp,ZScore,clip,2,0,0.9860681114551083
pol,mlp,ZScore,clip,2,1,0.9814241486068112
pol,mlp,ZScore,clip,2,2,0.9844961240310077
pol,mlp,ZScore,clip,2,3,0.9813953488372092
pol,mlp,ZScore,clip,2,4,0.9798449612403101
pol,mlp,ZScore,clip,2,5,0.9844961240310077
pol,mlp,ZScore,clip,2,6,0.9798449612403101
pol,mlp,ZScore,clip,2,7,0.9875968992248062
pol,mlp,ZScore,clip,2,8,0.986046511627907
pol,mlp,ZScore,clip,2,9,0.9829457364341085
