dataset,model,detector,treatment,run,fold,score
pol,mlp,ZScore,remove,0,0,0.8962848297213623
pol,mlp,ZScore,remove,0,1,0.8637770897832817
pol,mlp,ZScore,remove,0,2,0.8728682170542635
pol,mlp,ZScore,remove,0,3,0.8930232558139535
pol,mlp,ZScore,remove,0,4,0.8744186046511628
pol,mlp,ZScore,remove,0,5,0.8821705426356589
pol,mlp,ZScore,remove,0,6,0.8744186046511628
pol,mlp,ZScore,remove,0,7,0.8976744186046511
pol,mlp,ZScore,remove,0,8,0.8821705426356589
pol,mlp,ZScore,remove,0,9,0.8837209302325582
pol,mlp,ZScore,remove,1,0,0.8993808049535603
pol,mlp,ZScore,remove,1,1,0.9148606811145511
pol,mlp,ZScore,remove,1,2,0.8434108527131783
pol,mlp,ZScore,remove,1,3,0.862015503875969
pol,mlp,ZScore,remove,1,4,0.8930232558139535
pol,mlp,ZScore,remove,1,5,0.8837209302325582
pol,mlp,ZScore,remove,1,6,0.8558139534883721
pol,mlp,ZScore,remove,1,7,0.8852713178294573
pol,mlp,ZScore,remove,1,8,0.8558139534883721
pol,mlp,ZScore,remove,1,9,0.875968992248062
pol,mlp,ZScore,remove,2,0,0.8777089783281734
pol,mlp,ZScore,remove,2,1,0.8808049535603715
pol,mlp,ZScore,remove,2,2,0.8573643410852713
pol,mlp,ZScore,remove,2,3,0.8883720930232558
pol,mlp,ZScore,remove,2,4,0.8573643410852713
pol,mlp,ZScore,remove,2,5,0.8790697674418605
pol,mlp,ZScore,remove,2,6,0.8713178294573644
pol,mlp,ZScore,remove,2,7,0.8868217054263566
pol,mlp,ZScore,remove,2,8,0.875968992248062
pol,mlp,ZScore,remove,2,9,0.8992248062015504
