dataset,model,detector,treatment,run,fold,score
pol,randomforest,Percentile,remove,0,0,0.8560371517027864
pol,randomforest,Percentile,remove,0,1,0.8513931888544891
pol,randomforest,Percentile,remove,0,2,0.8294573643410853
pol,randomforest,Percentile,remove,0,3,0.8852713178294573
pol,randomforest,Percentile,remove,0,4,0.8542635658914729
pol,randomforest,Percentile,remove,0,5,0.8666666666666667
pol,randomforest,Percentile,remove,0,6,0.8496124031007752
pol,randomforest,Percentile,remove,0,7,0.8635658914728682
pol,randomforest,Percentile,remove,0,8,0.862015503875969
pol,randomforest,Percentile,remove,0,9,0.8682170542635659
pol,randomforest,Percentile,remove,1,0,0.8606811145510835
pol,randomforest,Percentile,remove,1,1,0.8823529411764706
pol,randomforest,Percentile,remove,1,2,0.8403100775193798
pol,randomforest,Percentile,remove,1,3,0.8589147286821706
pol,randomforest,Percentile,remove,1,4,0.8635658914728682
pol,randomforest,Percentile,remove,1,5,0.8542635658914729
pol,randomforest,Percentile,remove,1,6,0.8651162790697674
pol,randomforest,Percentile,remove,1,7,0.875968992248062
pol,randomforest,Percentile,remove,1,8,0.8418604651162791
pol,randomforest,Percentile,remove,1,9,0.8589147286821706
pol,randomforest,Percentile,remove,2,0,0.8591331269349846
pol,randomforest,Percentile,remove,2,1,0.8622291021671826
pol,randomforest,Percentile,remove,2,2,0.8449612403100775
pol,randomforest,Percentile,remove,2,3,0.8511627906976744
pol,randomforest,Percentile,remove,2,4,0.8573643410852713
pol,randomforest,Percentile,remove,2,5,0.8480620155038759
pol,randomforest,Percentile,remove,2,6,0.8496124031007752
pol,randomforest,Percentile,remove,2,7,0.8651162790697674
pol,randomforest,Percentile,remove,2,8,0.8542635658914729
pol,randomforest,Percentile,remove,2,9,0.8744186046511628
