dataset,model,detector,treatment,run,fold,score
pol,randomforest,ZScore,clip,0,0,0.9736842105263158
pol,randomforest,ZScore,clip,0,1,0.9736842105263158
pol,randomforest,ZScore,clip,0,2,0.9736434108527132
pol,randomforest,ZScore,clip,0,3,0.9813953488372092
pol,randomforest,ZScore,clip,0,4,0.9891472868217054
pol,randomforest,ZScore,clip,0,5,0.986046511627907
pol,randomforest,ZScore,clip,0,6,0.986046511627907
pol,randomforest,ZScore,clip,0,7,0.9844961240310077
pol,randomforest,ZScore,clip,0,8,0.9813953488372092
pol,randomforest,ZScore,clip,0,9,0.986046511627907
pol,randomforest,ZScore,clip,1,0,0.9891640866873065
pol,randomforest,ZScore,clip,1,1,0.9891640866873065
pol,randomforest,ZScore,clip,1,2,0.9829457364341085
pol,randomforest,ZScore,clip,1,3,0.9798449612403101
pol,randomforest,ZScore,clip,1,4,0.9813953488372092
pol,randomforest,ZScore,clip,1,5,0.9705426356589147
pol,randomforest,ZScore,clip,1,6,0.9844961240310077
pol,randomforest,ZScore,clip,1,7,0.9844961240310077
pol,randomforest,ZScore,clip,1,8,0.9751937984496124
pol,randomforest,ZScore,clip,1,9,0.9767441860465116
pol,randomforest,ZScore,clip,2,0,0.9814241486068112
pol,randomforest,ZScore,clip,2,1,0.9798761609907121
pol,randomforest,ZScore,clip,2,2,0.9813953488372092
pol,randomforest,ZScore,clip,2,3,0.9875968992248062
pol,randomforest,ZScore,clip,2,4,0.9782945736434109
pol,randomforest,ZScore,clip,2,5,0.9844961240310077
pol,randomforest,ZScore,clip,2,6,0.9720930232558139
pol,randomforest,ZScore,clip,2,7,0.9829457364341085
pol,randomforest,ZScore,clip,2,8,0.9751937984496124
pol,randomforest,ZScore,clip,2,9,0.9813953488372092
