dataset,model,detector,treatment,run,fold,score
pol,xgboost,Percentile,remove,0,0,0.8730650154798761
pol,xgboost,Percentile,remove,0,1,0.8544891640866873
pol,xgboost,Percentile,remove,0,2,0.8372093023255814
pol,xgboost,Percentile,remove,0,3,0.8806201550387597
pol,xgboost,Percentile,remove,0,4,0.8511627906976744
pol,xgboost,Percentile,remove,0,5,0.8728682170542635
pol,xgboost,Percentile,remove,0,6,0.8480620155038759
pol,xgboost,Percentile,remove,0,7,0.8589147286821706
pol,xgboost,Percentile,remove,0,8,0.8713178294573644
pol,xgboost,Percentile,remove,0,9,0.8527131782945736
pol,xgboost,Percentile,remove,1,0,0.8777089783281734
pol,xgboost,Percentile,remove,1,1,0.8854489164086687
pol,xgboost,Percentile,remove,1,2,0.8387596899224806
pol,xgboost,Percentile,remove,1,3,0.8604651162790697
pol,xgboost,Percentile,remove,1,4,0.862015503875969
pol,xgboost,Percentile,remove,1,5,0.8604651162790697
pol,xgboost,Percentile,remove,1,6,0.8589147286821706
pol,xgboost,Percentile,remove,1,7,0.8806201550387597
pol,xgboost,Percentile,remove,1,8,0.834108527131783
pol,xgboost,Percentile,remove,1,9,0.8589147286821706
pol,xgboost,Percentile,remove,2,0,0.8622291021671826
pol,xgboost,Percentile,remove,2,1,0.8637770897832817
pol,xgboost,Percentile,remove,2,2,0.8573643410852713
pol,xgboost,Percentile,remove,2,3,0.8511627906976744
pol,xgboost,Percentile,remove,2,4,0.8434108527131783
pol,xgboost,Percentile,remove,2,5,0.8542635658914729
pol,xgboost,Percentile,remove,2,6,0.8558139534883721
pol,xgboost,Percentile,remove,2,7,0.8790697674418605
pol,xgboost,Percentile,remove,2,8,0.8651162790697674
pol,xgboost,Percentile,remove,2,9,0.8868217054263566
