dataset,model,detector,treatment,run,fold,score
pol,xgboost,ZScore,clip,0,0,0.9798761609907121
pol,xgboost,ZScore,clip,0,1,0.978328173374613
pol,xgboost,ZScore,clip,0,2,0.9782945736434109
pol,xgboost,ZScore,clip,0,3,0.9813953488372092
pol,xgboost,ZScore,clip,0,4,0.9844961240310077
pol,xgboost,ZScore,clip,0,5,0.9844961240310077
pol,xgboost,ZScore,clip,0,6,0.986046511627907
pol,xgboost,ZScore,clip,0,7,0.9922480620155039
pol,xgboost,ZScore,clip,0,8,0.9875968992248062
pol,xgboost,ZScore,clip,0,9,0.986046511627907
pol,xgboost,ZScore,clip,1,0,0.9922600619195047
pol,xgboost,ZScore,clip,1,1,0.9876160990712074
pol,xgboost,ZScore,clip,1,2,0.9906976744186047
pol,xgboost,ZScore,clip,1,3,0.9767441860465116
pol,xgboost,ZScore,clip,1,4,0.9782945736434109
pol,xgboost,ZScore,clip,1,5,0.9829457364341085
pol,xgboost,ZScore,clip,1,6,0.9844961240310077
pol,xgboost,ZScore,clip,1,7,0.9829457364341085
pol,xgboost,ZScore,clip,1,8,0.986046511627907
pol,xgboost,ZScore,clip,1,9,0.9767441860465116
pol,xgboost,ZScore,clip,2,0,0.9829721362229102
pol,xgboost,ZScore,clip,2,1,0.9876160990712074
pol,xgboost,ZScore,clip,2,2,0.986046511627907
pol,xgboost,ZScore,clip,2,3,0.986046511627907
pol,xgboost,ZScore,clip,2,4,0.9782945736434109
pol,xgboost,ZScore,clip,2,5,0.9844961240310077
pol,xgboost,ZScore,clip,2,6,0.9798449612403101
pol,xgboost,ZScore,clip,2,7,0.9813953488372092
pol,xgboost,ZScore,clip,2,8,0.9813953488372092
pol,xgboost,ZScore,clip,2,9,0.9906976744186047
