dataset,model,detector,treatment,run,fold,score
socmob,mlp,LOF,remove,0,0,1250.3252028243419
socmob,mlp,LOF,remove,0,1,454.33200376111307
socmob,mlp,LOF,remove,0,2,1098.9840921868417
socmob,mlp,LOF,remove,0,3,829.8502587270833
socmob,mlp,LOF,remove,0,4,338.62284490416334
socmob,mlp,LOF,remove,0,5,329.0448667034364
socmob,mlp,LOF,remove,0,6,658.140914671686
socmob,mlp,LOF,remove,0,7,750.0513324610358
socmob,mlp,LOF,remove,0,8,3090.0883060854994
socmob,mlp,LOF,remove,0,9,984.3167328463455
socmob,mlp,LOF,remove,1,0,266.7195009725055
socmob,mlp,LOF,remove,1,1,1550.6997878752977
socmob,mlp,LOF,remove,1,2,784.4683404117817
socmob,mlp,LOF,remove,1,3,821.9850557132736
socmob,mlp,LOF,remove,1,4,1683.1831281298619
socmob,mlp,LOF,remove,1,5,535.7187699862965
socmob,mlp,LOF,remove,1,6,818.942355725601
socmob,mlp,LOF,remove,1,7,706.4032917508247
socmob,mlp,LOF,remove,1,8,1730.4745209653242
socmob,mlp,LOF,remove,1,9,735.1975710639784
socmob,mlp,LOF,remove,2,0,198.94513182874078
socmob,mlp,LOF,remove,2,1,2033.0326657468297
socmob,mlp,LOF,remove,2,2,548.2576787824889
socmob,mlp,LOF,remove,2,3,596.6625261677575
socmob,mlp,LOF,remove,2,4,949.4460835498203
socmob,mlp,LOF,remove,2,5,1519.314142870376
socmob,mlp,LOF,remove,2,6,966.3386847159967
socmob,mlp,LOF,remove,2,7,270.8028017256513
socmob,mlp,LOF,remove,2,8,1596.097180120563
socmob,mlp,LOF,remove,2,9,888.4604534238637
