dataset,model,detector,treatment,run,fold,score
socmob,mlp,Percentile,clip,0,0,1229.4088342802017
socmob,mlp,Percentile,clip,0,1,443.745827375573
socmob,mlp,Percentile,clip,0,2,1081.3083123419067
socmob,mlp,Percentile,clip,0,3,828.7066279223361
socmob,mlp,Percentile,clip,0,4,327.6676258107053
socmob,mlp,Percentile,clip,0,5,325.4890307901836
socmob,mlp,Percentile,clip,0,6,652.5265200716477
socmob,mlp,Percentile,clip,0,7,733.3744833137027
socmob,mlp,Percentile,clip,0,8,3076.5369379239382
socmob,mlp,Percentile,clip,0,9,967.6615025017453
socmob,mlp,Percentile,clip,1,0,269.62755039075205
socmob,mlp,Percentile,clip,1,1,1553.5836585407553
socmob,mlp,Percentile,clip,1,2,778.5013835541821
socmob,mlp,Percentile,clip,1,3,800.6345334839128
socmob,mlp,Percentile,clip,1,4,1685.1866031575876
socmob,mlp,Percentile,clip,1,5,525.2836818616133
socmob,mlp,Percentile,clip,1,6,818.8424456078294
socmob,mlp,Percentile,clip,1,7,704.9017682765597
socmob,mlp,Percentile,clip,1,8,1721.2368320669586
socmob,mlp,Percentile,clip,1,9,711.1552554368923
socmob,mlp,Percentile,clip,2,0,198.83902368626116
socmob,mlp,Percentile,clip,2,1,2043.2696789466183
socmob,mlp,Percentile,clip,2,2,543.295047361092
socmob,mlp,Percentile,clip,2,3,595.5759766108828
socmob,mlp,Percentile,clip,2,4,934.4727093694046
socmob,mlp,Percentile,clip,2,5,1525.6007877818483
socmob,mlp,Percentile,clip,2,6,963.9000747106933
socmob,mlp,Percentile,clip,2,7,272.0208899303052
socmob,mlp,Percentile,clip,2,8,1609.9065459134013
socmob,mlp,Percentile,clip,2,9,866.1316573023317
