dataset,model,detector,treatment,run,fold,score
socmob,mlp,Percentile,remove,0,0,1195.0483453134493
socmob,mlp,Percentile,remove,0,1,461.60161515523066
socmob,mlp,Percentile,remove,0,2,1174.113841886662
socmob,mlp,Percentile,remove,0,3,810.644707626163
socmob,mlp,Percentile,remove,0,4,323.85787309582355
socmob,mlp,Percentile,remove,0,5,297.4955968276088
socmob,mlp,Percentile,remove,0,6,652.9076784389313
socmob,mlp,Percentile,remove,0,7,726.7132119364114
socmob,mlp,Percentile,remove,0,8,3390.2193710876527
socmob,mlp,Percentile,remove,0,9,928.482596865359
socmob,mlp,Percentile,remove,1,0,295.7853244560167
socmob,mlp,Percentile,remove,1,1,1511.789999685847
socmob,mlp,Percentile,remove,1,2,775.0622365797514
socmob,mlp,Percentile,remove,1,3,803.8551652083434
socmob,mlp,Percentile,remove,1,4,1680.2757344215256
socmob,mlp,Percentile,remove,1,5,504.5109591240986
socmob,mlp,Percentile,remove,1,6,1028.8515517054077
socmob,mlp,Percentile,remove,1,7,757.1261498425818
socmob,mlp,Percentile,remove,1,8,1757.6753911314715
socmob,mlp,Percentile,remove,1,9,719.290903224518
socmob,mlp,Percentile,remove,2,0,205.44737557864482
socmob,mlp,Percentile,remove,2,1,2164.1171202801097
socmob,mlp,Percentile,remove,2,2,542.8964422981356
socmob,mlp,Percentile,remove,2,3,674.8950086222408
socmob,mlp,Percentile,remove,2,4,984.0158819212927
socmob,mlp,Percentile,remove,2,5,1573.462638677185
socmob,mlp,Percentile,remove,2,6,1000.9767665908321
socmob,mlp,Percentile,remove,2,7,279.4727778010363
socmob,mlp,Percentile,remove,2,8,1553.4233947783584
socmob,mlp,Percentile,remove,2,9,879.7444801127128
