dataset,model,detector,treatment,run,fold,score
socmob,mlp_deep,IsolationForest,remove,0,0,1469.7837800455502
socmob,mlp_deep,IsolationForest,remove,0,1,529.5261015859845
socmob,mlp_deep,IsolationForest,remove,0,2,1333.553285990558
socmob,mlp_deep,IsolationForest,remove,0,3,866.3535511498353
socmob,mlp_deep,IsolationForest,remove,0,4,424.63158271709466
socmob,mlp_deep,IsolationForest,remove,0,5,409.01628082590594
socmob,mlp_deep,IsolationForest,remove,0,6,632.7670150838311
socmob,mlp_deep,IsolationForest,remove,0,7,860.6991041162461
socmob,mlp_deep,IsolationForest,remove,0,8,3222.172189264915
socmob,mlp_deep,IsolationForest,remove,0,9,980.7613932844479
socmob,mlp_deep,IsolationForest,remove,1,0,259.7701000482795
socmob,mlp_deep,IsolationForest,remove,1,1,1372.19019183541
socmob,mlp_deep,IsolationForest,remove,1,2,1341.7130079970127
socmob,mlp_deep,IsolationForest,remove,1,3,998.5830357477037
socmob,mlp_deep,IsolationForest,remove,1,4,1828.4674431866756
socmob,mlp_deep,IsolationForest,remove,1,5,650.507261122113
socmob,mlp_deep,IsolationForest,remove,1,6,1299.0665708646452
socmob,mlp_deep,IsolationForest,remove,1,7,1058.312310393347
socmob,mlp_deep,IsolationForest,remove,1,8,1614.0068789374554
socmob,mlp_deep,IsolationForest,remove,1,9,635.4291306983647
socmob,mlp_deep,IsolationForest,remove,2,0,305.215094693331
socmob,mlp_deep,IsolationForest,remove,2,1,2014.4469076281687
socmob,mlp_deep,IsolationForest,remove,2,2,664.3576597965967
socmob,mlp_deep,IsolationForest,remove,2,3,910.1073557465672
socmob,mlp_deep,IsolationForest,remove,2,4,1062.306233497487
socmob,mlp_deep,IsolationForest,remove,2,5,1522.0513356154474
socmob,mlp_deep,IsolationForest,remove,2,6,1287.611284803473
socmob,mlp_deep,IsolationForest,remove,2,7,289.6531345157006
socmob,mlp_deep,IsolationForest,remove,2,8,1708.5227072067207
socmob,mlp_deep,IsolationForest,remove,2,9,1362.7613773825474
