dataset,model,detector,treatment,run,fold,score
socmob,mlp_deep,LOF,remove,0,0,1294.5434605159703
socmob,mlp_deep,LOF,remove,0,1,513.262279523284
socmob,mlp_deep,LOF,remove,0,2,1353.7924267099445
socmob,mlp_deep,LOF,remove,0,3,797.7863238519066
socmob,mlp_deep,LOF,remove,0,4,324.14151455070714
socmob,mlp_deep,LOF,remove,0,5,327.03971323373736
socmob,mlp_deep,LOF,remove,0,6,714.616972999624
socmob,mlp_deep,LOF,remove,0,7,792.999161497042
socmob,mlp_deep,LOF,remove,0,8,2857.9638537241194
socmob,mlp_deep,LOF,remove,0,9,936.5498525354466
socmob,mlp_deep,LOF,remove,1,0,266.34578275863805
socmob,mlp_deep,LOF,remove,1,1,1521.6821567530474
socmob,mlp_deep,LOF,remove,1,2,938.1234094064757
socmob,mlp_deep,LOF,remove,1,3,886.177755296924
socmob,mlp_deep,LOF,remove,1,4,1500.9252615887726
socmob,mlp_deep,LOF,remove,1,5,543.2419810028794
socmob,mlp_deep,LOF,remove,1,6,819.2941769315772
socmob,mlp_deep,LOF,remove,1,7,842.1923275435142
socmob,mlp_deep,LOF,remove,1,8,1920.6058066873634
socmob,mlp_deep,LOF,remove,1,9,705.2418531898501
socmob,mlp_deep,LOF,remove,2,0,203.77167350123017
socmob,mlp_deep,LOF,remove,2,1,2169.8212063546493
socmob,mlp_deep,LOF,remove,2,2,554.516093925958
socmob,mlp_deep,LOF,remove,2,3,925.3719122922121
socmob,mlp_deep,LOF,remove,2,4,1126.696595269039
socmob,mlp_deep,LOF,remove,2,5,1488.398021595298
socmob,mlp_deep,LOF,remove,2,6,1574.4513930412631
socmob,mlp_deep,LOF,remove,2,7,324.02917244253825
socmob,mlp_deep,LOF,remove,2,8,1588.72340279544
socmob,mlp_deep,LOF,remove,2,9,1050.2700810896058
