dataset,model,detector,treatment,run,fold,score
socmob,mlp_deep,Percentile,clip,0,0,1252.1534611182694
socmob,mlp_deep,Percentile,clip,0,1,597.2439668565264
socmob,mlp_deep,Percentile,clip,0,2,1369.2345293759013
socmob,mlp_deep,Percentile,clip,0,3,738.5324355203697
socmob,mlp_deep,Percentile,clip,0,4,355.61514982864225
socmob,mlp_deep,Percentile,clip,0,5,419.8755745931988
socmob,mlp_deep,Percentile,clip,0,6,690.5871592173318
socmob,mlp_deep,Percentile,clip,0,7,816.5387684564929
socmob,mlp_deep,Percentile,clip,0,8,3233.667018955076
socmob,mlp_deep,Percentile,clip,0,9,983.1102986738531
socmob,mlp_deep,Percentile,clip,1,0,263.72015643020933
socmob,mlp_deep,Percentile,clip,1,1,1800.431567416645
socmob,mlp_deep,Percentile,clip,1,2,848.1076198920092
socmob,mlp_deep,Percentile,clip,1,3,872.5176119180362
socmob,mlp_deep,Percentile,clip,1,4,1685.641010541529
socmob,mlp_deep,Percentile,clip,1,5,539.7191581874383
socmob,mlp_deep,Percentile,clip,1,6,848.8174443514862
socmob,mlp_deep,Percentile,clip,1,7,748.0810306067739
socmob,mlp_deep,Percentile,clip,1,8,1725.06505522648
socmob,mlp_deep,Percentile,clip,1,9,1208.781467052707
socmob,mlp_deep,Percentile,clip,2,0,294.8094243852155
socmob,mlp_deep,Percentile,clip,2,1,1987.536198119399
socmob,mlp_deep,Percentile,clip,2,2,548.2675406367255
socmob,mlp_deep,Percentile,clip,2,3,584.3260582176678
socmob,mlp_deep,Percentile,clip,2,4,893.9885785164221
socmob,mlp_deep,Percentile,clip,2,5,1476.3334866008372
socmob,mlp_deep,Percentile,clip,2,6,1091.7580562081444
socmob,mlp_deep,Percentile,clip,2,7,285.69905980631245
socmob,mlp_deep,Percentile,clip,2,8,2002.5284710559106
socmob,mlp_deep,Percentile,clip,2,9,924.2737596528714
