dataset,model,detector,treatment,run,fold,score
socmob,mlp_deep,Percentile,remove,0,0,1223.5431471146298
socmob,mlp_deep,Percentile,remove,0,1,567.2052815532161
socmob,mlp_deep,Percentile,remove,0,2,959.5357783768825
socmob,mlp_deep,Percentile,remove,0,3,755.471846363552
socmob,mlp_deep,Percentile,remove,0,4,338.7600367939578
socmob,mlp_deep,Percentile,remove,0,5,347.83688217344695
socmob,mlp_deep,Percentile,remove,0,6,759.1401896390361
socmob,mlp_deep,Percentile,remove,0,7,756.6887996190966
socmob,mlp_deep,Percentile,remove,0,8,3471.1359396760586
socmob,mlp_deep,Percentile,remove,0,9,803.3325331810802
socmob,mlp_deep,Percentile,remove,1,0,278.0047303335449
socmob,mlp_deep,Percentile,remove,1,1,1579.2432650586663
socmob,mlp_deep,Percentile,remove,1,2,772.40963045713
socmob,mlp_deep,Percentile,remove,1,3,831.4251418400327
socmob,mlp_deep,Percentile,remove,1,4,1968.8841024079738
socmob,mlp_deep,Percentile,remove,1,5,588.2019530236731
socmob,mlp_deep,Percentile,remove,1,6,843.4579384489931
socmob,mlp_deep,Percentile,remove,1,7,697.9975471491056
socmob,mlp_deep,Percentile,remove,1,8,1683.233567521595
socmob,mlp_deep,Percentile,remove,1,9,738.509127976481
socmob,mlp_deep,Percentile,remove,2,0,213.17180935656174
socmob,mlp_deep,Percentile,remove,2,1,1956.2653141404626
socmob,mlp_deep,Percentile,remove,2,2,500.62367415334035
socmob,mlp_deep,Percentile,remove,2,3,623.2315202660367
socmob,mlp_deep,Percentile,remove,2,4,1097.375979427856
socmob,mlp_deep,Percentile,remove,2,5,1506.773982294161
socmob,mlp_deep,Percentile,remove,2,6,1454.2371143596129
socmob,mlp_deep,Percentile,remove,2,7,505.7946304367788
socmob,mlp_deep,Percentile,remove,2,8,2383.7067754000645
socmob,mlp_deep,Percentile,remove,2,9,869.1277776651968
