dataset,model,detector,treatment,run,fold,score
socmob,mlp_deep,ZScore,remove,0,0,1246.576932885053
socmob,mlp_deep,ZScore,remove,0,1,625.3927421070553
socmob,mlp_deep,ZScore,remove,0,2,1355.1116585831485
socmob,mlp_deep,ZScore,remove,0,3,730.4235355851367
socmob,mlp_deep,ZScore,remove,0,4,355.3339580589256
socmob,mlp_deep,ZScore,remove,0,5,400.1461930323805
socmob,mlp_deep,ZScore,remove,0,6,691.360049257184
socmob,mlp_deep,ZScore,remove,0,7,830.7366734460102
socmob,mlp_deep,ZScore,remove,0,8,3234.2365878596934
socmob,mlp_deep,ZScore,remove,0,9,1001.7805876153382
socmob,mlp_deep,ZScore,remove,1,0,262.4439054414352
socmob,mlp_deep,ZScore,remove,1,1,1803.5994664718542
socmob,mlp_deep,ZScore,remove,1,2,885.0840338803654
socmob,mlp_deep,ZScore,remove,1,3,873.3816678830709
socmob,mlp_deep,ZScore,remove,1,4,1687.8389193450623
socmob,mlp_deep,ZScore,remove,1,5,525.161850958607
socmob,mlp_deep,ZScore,remove,1,6,834.2872878056615
socmob,mlp_deep,ZScore,remove,1,7,742.1697846820022
socmob,mlp_deep,ZScore,remove,1,8,1724.2219128623053
socmob,mlp_deep,ZScore,remove,1,9,1200.5289033958195
socmob,mlp_deep,ZScore,remove,2,0,372.3034867707648
socmob,mlp_deep,ZScore,remove,2,1,1984.164709416203
socmob,mlp_deep,ZScore,remove,2,2,558.8423677851188
socmob,mlp_deep,ZScore,remove,2,3,587.1599012515263
socmob,mlp_deep,ZScore,remove,2,4,877.3170265227827
socmob,mlp_deep,ZScore,remove,2,5,1446.7717548876105
socmob,mlp_deep,ZScore,remove,2,6,1091.7989559461787
socmob,mlp_deep,ZScore,remove,2,7,289.80055292076815
socmob,mlp_deep,ZScore,remove,2,8,2001.938861468525
socmob,mlp_deep,ZScore,remove,2,9,930.0434782756765
