dataset,model,detector,treatment,run,fold,score
socmob,randomforest,Autoencoder,remove,0,0,1819.948311878378
socmob,randomforest,Autoencoder,remove,0,1,596.7317723378378
socmob,randomforest,Autoencoder,remove,0,2,2047.9277417567566
socmob,randomforest,Autoencoder,remove,0,3,1276.5285536621625
socmob,randomforest,Autoencoder,remove,0,4,374.038852081081
socmob,randomforest,Autoencoder,remove,0,5,394.2972178378379
socmob,randomforest,Autoencoder,remove,0,6,827.2375420945948
socmob,randomforest,Autoencoder,remove,0,7,1077.897868310811
socmob,randomforest,Autoencoder,remove,0,8,4322.941679351352
socmob,randomforest,Autoencoder,remove,0,9,1665.6607764520545
socmob,randomforest,Autoencoder,remove,1,0,315.45761609459464
socmob,randomforest,Autoencoder,remove,1,1,2188.5381033783783
socmob,randomforest,Autoencoder,remove,1,2,1470.6013084324327
socmob,randomforest,Autoencoder,remove,1,3,1049.2354828918922
socmob,randomforest,Autoencoder,remove,1,4,2126.178282675676
socmob,randomforest,Autoencoder,remove,1,5,880.9560381756759
socmob,randomforest,Autoencoder,remove,1,6,1283.7176117297297
socmob,randomforest,Autoencoder,remove,1,7,1200.7103469729734
socmob,randomforest,Autoencoder,remove,1,8,2446.8575150270276
socmob,randomforest,Autoencoder,remove,1,9,1369.9788127123288
socmob,randomforest,Autoencoder,remove,2,0,232.01848514864872
socmob,randomforest,Autoencoder,remove,2,1,2835.0848438243247
socmob,randomforest,Autoencoder,remove,2,2,982.0009645810811
socmob,randomforest,Autoencoder,remove,2,3,694.4525723648647
socmob,randomforest,Autoencoder,remove,2,4,1348.827448148649
socmob,randomforest,Autoencoder,remove,2,5,1787.0703659864866
socmob,randomforest,Autoencoder,remove,2,6,1496.366062797297
socmob,randomforest,Autoencoder,remove,2,7,517.6852041081081
socmob,randomforest,Autoencoder,remove,2,8,2860.4280027297295
socmob,randomforest,Autoencoder,remove,2,9,1483.5179286438356
