dataset,model,detector,treatment,run,fold,score
socmob,randomforest,IsolationForest,remove,0,0,1774.4981418648645
socmob,randomforest,IsolationForest,remove,0,1,695.4273184594595
socmob,randomforest,IsolationForest,remove,0,2,2057.920073418919
socmob,randomforest,IsolationForest,remove,0,3,1312.907958837838
socmob,randomforest,IsolationForest,remove,0,4,391.7526059189189
socmob,randomforest,IsolationForest,remove,0,5,419.30059112162155
socmob,randomforest,IsolationForest,remove,0,6,1012.7599196756757
socmob,randomforest,IsolationForest,remove,0,7,1113.2211445405405
socmob,randomforest,IsolationForest,remove,0,8,4494.324124310811
socmob,randomforest,IsolationForest,remove,0,9,1756.1746229041094
socmob,randomforest,IsolationForest,remove,1,0,345.13723831081074
socmob,randomforest,IsolationForest,remove,1,1,2343.388990554054
socmob,randomforest,IsolationForest,remove,1,2,1514.4368925540543
socmob,randomforest,IsolationForest,remove,1,3,1089.4742522432432
socmob,randomforest,IsolationForest,remove,1,4,2154.8570803108114
socmob,randomforest,IsolationForest,remove,1,5,950.7895718513515
socmob,randomforest,IsolationForest,remove,1,6,1298.6477395945947
socmob,randomforest,IsolationForest,remove,1,7,1216.6088786216214
socmob,randomforest,IsolationForest,remove,1,8,2320.4681879729733
socmob,randomforest,IsolationForest,remove,1,9,1473.532050671233
socmob,randomforest,IsolationForest,remove,2,0,262.0426475000001
socmob,randomforest,IsolationForest,remove,2,1,2922.3833934864865
socmob,randomforest,IsolationForest,remove,2,2,939.4074391081082
socmob,randomforest,IsolationForest,remove,2,3,872.9176186351351
socmob,randomforest,IsolationForest,remove,2,4,1513.1802990270273
socmob,randomforest,IsolationForest,remove,2,5,1990.3188895945943
socmob,randomforest,IsolationForest,remove,2,6,1515.3571686621617
socmob,randomforest,IsolationForest,remove,2,7,553.6627850675676
socmob,randomforest,IsolationForest,remove,2,8,2781.498558040541
socmob,randomforest,IsolationForest,remove,2,9,1526.966141410959
