dataset,model,detector,treatment,run,fold,score
socmob,randomforest,LOF,remove,0,0,1483.4508924054064
socmob,randomforest,LOF,remove,0,1,494.67425044594603
socmob,randomforest,LOF,remove,0,2,1156.1665458108105
socmob,randomforest,LOF,remove,0,3,959.3850402702706
socmob,randomforest,LOF,remove,0,4,246.88126828378375
socmob,randomforest,LOF,remove,0,5,281.1361053918919
socmob,randomforest,LOF,remove,0,6,508.83956014864845
socmob,randomforest,LOF,remove,0,7,487.0169342162162
socmob,randomforest,LOF,remove,0,8,3865.768843310811
socmob,randomforest,LOF,remove,0,9,1123.1768769315067
socmob,randomforest,LOF,remove,1,0,244.85254787837835
socmob,randomforest,LOF,remove,1,1,1560.6565569189188
socmob,randomforest,LOF,remove,1,2,697.8179236216216
socmob,randomforest,LOF,remove,1,3,775.6434457837837
socmob,randomforest,LOF,remove,1,4,1934.7781175405405
socmob,randomforest,LOF,remove,1,5,526.2229917027028
socmob,randomforest,LOF,remove,1,6,950.1204624054051
socmob,randomforest,LOF,remove,1,7,513.4781667702703
socmob,randomforest,LOF,remove,1,8,2098.250069040541
socmob,randomforest,LOF,remove,1,9,810.4100289863011
socmob,randomforest,LOF,remove,2,0,163.71421536486494
socmob,randomforest,LOF,remove,2,1,2310.3719127702702
socmob,randomforest,LOF,remove,2,2,739.0380260135134
socmob,randomforest,LOF,remove,2,3,505.2012758918917
socmob,randomforest,LOF,remove,2,4,840.6647455135133
socmob,randomforest,LOF,remove,2,5,1281.791110756757
socmob,randomforest,LOF,remove,2,6,1134.504502716216
socmob,randomforest,LOF,remove,2,7,396.3965735675675
socmob,randomforest,LOF,remove,2,8,2709.596178513514
socmob,randomforest,LOF,remove,2,9,1137.2824945342468
