dataset,model,detector,treatment,run,fold,score
socmob,randomforest,None,remove,0,0,1577.6850619189192
socmob,randomforest,None,remove,0,1,690.3648169864867
socmob,randomforest,None,remove,0,2,1620.5419879189192
socmob,randomforest,None,remove,0,3,1186.3894880540543
socmob,randomforest,None,remove,0,4,304.07167121621615
socmob,randomforest,None,remove,0,5,365.8531565810811
socmob,randomforest,None,remove,0,6,719.7808727837837
socmob,randomforest,None,remove,0,7,773.1686121486485
socmob,randomforest,None,remove,0,8,4369.427352783783
socmob,randomforest,None,remove,0,9,1651.5571392465756
socmob,randomforest,None,remove,1,0,270.91472459459453
socmob,randomforest,None,remove,1,1,2134.5342327567564
socmob,randomforest,None,remove,1,2,1185.4746507567565
socmob,randomforest,None,remove,1,3,906.03473
socmob,randomforest,None,remove,1,4,1929.690132391892
socmob,randomforest,None,remove,1,5,831.6967725000002
socmob,randomforest,None,remove,1,6,1171.8261021891892
socmob,randomforest,None,remove,1,7,942.4566442567568
socmob,randomforest,None,remove,1,8,2386.6282493378385
socmob,randomforest,None,remove,1,9,1230.8043873835616
socmob,randomforest,None,remove,2,0,194.85262308108113
socmob,randomforest,None,remove,2,1,2262.3424356486485
socmob,randomforest,None,remove,2,2,891.7121692702702
socmob,randomforest,None,remove,2,3,745.3519829324324
socmob,randomforest,None,remove,2,4,1302.536124121622
socmob,randomforest,None,remove,2,5,1718.273191837838
socmob,randomforest,None,remove,2,6,1407.312420445946
socmob,randomforest,None,remove,2,7,399.28276082432427
socmob,randomforest,None,remove,2,8,2889.475412040541
socmob,randomforest,None,remove,2,9,1224.0705654657538
