dataset,model,detector,treatment,run,fold,score
socmob,randomforest,Percentile,clip,0,0,1587.4858284594598
socmob,randomforest,Percentile,clip,0,1,708.1155818108112
socmob,randomforest,Percentile,clip,0,2,1507.5171069999997
socmob,randomforest,Percentile,clip,0,3,1196.874463574054
socmob,randomforest,Percentile,clip,0,4,289.9699198648648
socmob,randomforest,Percentile,clip,0,5,355.62239075675683
socmob,randomforest,Percentile,clip,0,6,728.797790608108
socmob,randomforest,Percentile,clip,0,7,779.0133169324325
socmob,randomforest,Percentile,clip,0,8,4404.490550351352
socmob,randomforest,Percentile,clip,0,9,1680.8309936453575
socmob,randomforest,Percentile,clip,1,0,267.22796555405404
socmob,randomforest,Percentile,clip,1,1,2154.928633837837
socmob,randomforest,Percentile,clip,1,2,1157.2816417837837
socmob,randomforest,Percentile,clip,1,3,934.7194772687089
socmob,randomforest,Percentile,clip,1,4,1878.1880428513518
socmob,randomforest,Percentile,clip,1,5,844.6059416351355
socmob,randomforest,Percentile,clip,1,6,1190.4549363513513
socmob,randomforest,Percentile,clip,1,7,989.1752324459462
socmob,randomforest,Percentile,clip,1,8,2392.1754236351353
socmob,randomforest,Percentile,clip,1,9,1210.4606649999998
socmob,randomforest,Percentile,clip,2,0,190.49634858108112
socmob,randomforest,Percentile,clip,2,1,2283.499303702702
socmob,randomforest,Percentile,clip,2,2,910.1554532778378
socmob,randomforest,Percentile,clip,2,3,738.196729608108
socmob,randomforest,Percentile,clip,2,4,1273.8583551891895
socmob,randomforest,Percentile,clip,2,5,1727.1557084054057
socmob,randomforest,Percentile,clip,2,6,1404.6156466216216
socmob,randomforest,Percentile,clip,2,7,402.7235422027027
socmob,randomforest,Percentile,clip,2,8,2791.4842253243246
socmob,randomforest,Percentile,clip,2,9,1242.1226793561646
