dataset,model,detector,treatment,run,fold,score
socmob,randomforest,Percentile,remove,0,0,1825.7206672837833
socmob,randomforest,Percentile,remove,0,1,578.5124819594595
socmob,randomforest,Percentile,remove,0,2,1874.3341244459464
socmob,randomforest,Percentile,remove,0,3,1275.5639662297297
socmob,randomforest,Percentile,remove,0,4,408.474225527027
socmob,randomforest,Percentile,remove,0,5,378.25207327027033
socmob,randomforest,Percentile,remove,0,6,939.9170605135139
socmob,randomforest,Percentile,remove,0,7,1020.4225842567572
socmob,randomforest,Percentile,remove,0,8,4347.828810283783
socmob,randomforest,Percentile,remove,0,9,1731.1113881643837
socmob,randomforest,Percentile,remove,1,0,312.2538651621622
socmob,randomforest,Percentile,remove,1,1,2319.210283445946
socmob,randomforest,Percentile,remove,1,2,1377.668923067568
socmob,randomforest,Percentile,remove,1,3,1224.025211310811
socmob,randomforest,Percentile,remove,1,4,2049.338778513514
socmob,randomforest,Percentile,remove,1,5,908.4683494864864
socmob,randomforest,Percentile,remove,1,6,1275.9215169459458
socmob,randomforest,Percentile,remove,1,7,994.05996
socmob,randomforest,Percentile,remove,1,8,2398.312078918919
socmob,randomforest,Percentile,remove,1,9,1320.5309776575343
socmob,randomforest,Percentile,remove,2,0,245.6371081756757
socmob,randomforest,Percentile,remove,2,1,2670.080774783784
socmob,randomforest,Percentile,remove,2,2,891.1308004864865
socmob,randomforest,Percentile,remove,2,3,827.9801105675675
socmob,randomforest,Percentile,remove,2,4,1382.190250810811
socmob,randomforest,Percentile,remove,2,5,1762.1073079459463
socmob,randomforest,Percentile,remove,2,6,1393.6958919594595
socmob,randomforest,Percentile,remove,2,7,508.36541516216215
socmob,randomforest,Percentile,remove,2,8,2873.861305
socmob,randomforest,Percentile,remove,2,9,1443.6192831232877
