dataset,model,detector,treatment,run,fold,score
socmob,xgboost,Autoencoder,remove,0,0,1461.3592444625572
socmob,xgboost,Autoencoder,remove,0,1,299.41018146092296
socmob,xgboost,Autoencoder,remove,0,2,1544.8101908279625
socmob,xgboost,Autoencoder,remove,0,3,962.1368896557518
socmob,xgboost,Autoencoder,remove,0,4,233.81106343099796
socmob,xgboost,Autoencoder,remove,0,5,284.98851102769106
socmob,xgboost,Autoencoder,remove,0,6,667.5648001845755
socmob,xgboost,Autoencoder,remove,0,7,681.7521261236328
socmob,xgboost,Autoencoder,remove,0,8,3109.809688280629
socmob,xgboost,Autoencoder,remove,0,9,1109.7461017324163
socmob,xgboost,Autoencoder,remove,1,0,225.50655797643142
socmob,xgboost,Autoencoder,remove,1,1,1445.0292906275797
socmob,xgboost,Autoencoder,remove,1,2,1288.6800925092243
socmob,xgboost,Autoencoder,remove,1,3,588.8876146198296
socmob,xgboost,Autoencoder,remove,1,4,1625.251920885981
socmob,xgboost,Autoencoder,remove,1,5,672.0737434508691
socmob,xgboost,Autoencoder,remove,1,6,878.7849419877397
socmob,xgboost,Autoencoder,remove,1,7,795.3874092943569
socmob,xgboost,Autoencoder,remove,1,8,1676.3017741934798
socmob,xgboost,Autoencoder,remove,1,9,765.7288458099359
socmob,xgboost,Autoencoder,remove,2,0,180.5051585051988
socmob,xgboost,Autoencoder,remove,2,1,2432.9677082424537
socmob,xgboost,Autoencoder,remove,2,2,772.3041307504778
socmob,xgboost,Autoencoder,remove,2,3,369.7891081174065
socmob,xgboost,Autoencoder,remove,2,4,1086.509815809088
socmob,xgboost,Autoencoder,remove,2,5,1423.2785782153783
socmob,xgboost,Autoencoder,remove,2,6,957.5900013338339
socmob,xgboost,Autoencoder,remove,2,7,310.84438377530967
socmob,xgboost,Autoencoder,remove,2,8,1969.9428864232607
socmob,xgboost,Autoencoder,remove,2,9,1242.4106420480557
