dataset,model,detector,treatment,run,fold,score
socmob,xgboost,LOF,remove,0,0,1155.6135228536098
socmob,xgboost,LOF,remove,0,1,407.61365995310297
socmob,xgboost,LOF,remove,0,2,978.8053353933739
socmob,xgboost,LOF,remove,0,3,692.5946793203234
socmob,xgboost,LOF,remove,0,4,284.5810014106404
socmob,xgboost,LOF,remove,0,5,313.5138058086041
socmob,xgboost,LOF,remove,0,6,492.4897222091822
socmob,xgboost,LOF,remove,0,7,449.1413512577985
socmob,xgboost,LOF,remove,0,8,2958.0649040381486
socmob,xgboost,LOF,remove,0,9,1029.4482431962995
socmob,xgboost,LOF,remove,1,0,209.81303220418292
socmob,xgboost,LOF,remove,1,1,1000.6878123132974
socmob,xgboost,LOF,remove,1,2,722.6186545857635
socmob,xgboost,LOF,remove,1,3,427.97226985942115
socmob,xgboost,LOF,remove,1,4,1767.6290878644988
socmob,xgboost,LOF,remove,1,5,544.511091619232
socmob,xgboost,LOF,remove,1,6,789.0713165809841
socmob,xgboost,LOF,remove,1,7,250.5044050078998
socmob,xgboost,LOF,remove,1,8,1542.2231636344745
socmob,xgboost,LOF,remove,1,9,545.1187359926416
socmob,xgboost,LOF,remove,2,0,197.97273566272122
socmob,xgboost,LOF,remove,2,1,1976.4940726130874
socmob,xgboost,LOF,remove,2,2,474.06130653486036
socmob,xgboost,LOF,remove,2,3,287.4874995058372
socmob,xgboost,LOF,remove,2,4,829.3765679934974
socmob,xgboost,LOF,remove,2,5,1331.0090981090066
socmob,xgboost,LOF,remove,2,6,918.6394761050294
socmob,xgboost,LOF,remove,2,7,240.72050282640123
socmob,xgboost,LOF,remove,2,8,1871.370450608131
socmob,xgboost,LOF,remove,2,9,877.9760271793582
