dataset,model,detector,treatment,run,fold,score
socmob,xgboost,Percentile,remove,0,0,1283.8590955316033
socmob,xgboost,Percentile,remove,0,1,387.9024714236859
socmob,xgboost,Percentile,remove,0,2,1154.8010591843226
socmob,xgboost,Percentile,remove,0,3,813.6511853599724
socmob,xgboost,Percentile,remove,0,4,223.73778749494622
socmob,xgboost,Percentile,remove,0,5,302.9900809553376
socmob,xgboost,Percentile,remove,0,6,793.6746811761149
socmob,xgboost,Percentile,remove,0,7,803.6542688245333
socmob,xgboost,Percentile,remove,0,8,3164.190725995956
socmob,xgboost,Percentile,remove,0,9,1072.0337663061644
socmob,xgboost,Percentile,remove,1,0,224.6319224471217
socmob,xgboost,Percentile,remove,1,1,1221.0471145700967
socmob,xgboost,Percentile,remove,1,2,1348.019452433349
socmob,xgboost,Percentile,remove,1,3,744.6389984441181
socmob,xgboost,Percentile,remove,1,4,1715.8688968165811
socmob,xgboost,Percentile,remove,1,5,694.3225852161929
socmob,xgboost,Percentile,remove,1,6,834.4903674504496
socmob,xgboost,Percentile,remove,1,7,891.2334000158309
socmob,xgboost,Percentile,remove,1,8,1771.9121498077445
socmob,xgboost,Percentile,remove,1,9,622.241818675826
socmob,xgboost,Percentile,remove,2,0,182.9850672656204
socmob,xgboost,Percentile,remove,2,1,2126.4282197528346
socmob,xgboost,Percentile,remove,2,2,700.9899647675272
socmob,xgboost,Percentile,remove,2,3,426.61871311709024
socmob,xgboost,Percentile,remove,2,4,1234.560593898451
socmob,xgboost,Percentile,remove,2,5,1479.5233254885136
socmob,xgboost,Percentile,remove,2,6,1055.7973460107303
socmob,xgboost,Percentile,remove,2,7,346.0281356516311
socmob,xgboost,Percentile,remove,2,8,2364.919521802036
socmob,xgboost,Percentile,remove,2,9,1067.5998300436463
