dataset,model,detector,treatment,run,fold,score
splice,mlp_deep,ZScore,remove,0,0,0.8536585365853658
splice,mlp_deep,ZScore,remove,0,1,0.7647058823529411
splice,mlp_deep,ZScore,remove,0,2,0.8284313725490197
splice,mlp_deep,ZScore,remove,0,3,0.8676470588235294
splice,mlp_deep,ZScore,remove,0,4,0.8627450980392157
splice,mlp_deep,ZScore,remove,0,5,0.8235294117647058
splice,mlp_deep,ZScore,remove,0,6,0.803921568627451
splice,mlp_deep,ZScore,remove,0,7,0.8235294117647058
splice,mlp_deep,ZScore,remove,0,8,0.8529411764705882
splice,mlp_deep,ZScore,remove,0,9,0.8137254901960784
splice,mlp_deep,ZScore,remove,1,0,0.8097560975609757
splice,mlp_deep,ZScore,remove,1,1,0.8186274509803921
splice,mlp_deep,ZScore,remove,1,2,0.8235294117647058
splice,mlp_deep,ZScore,remove,1,3,0.8431372549019608
splice,mlp_deep,ZScore,remove,1,4,0.8284313725490197
splice,mlp_deep,ZScore,remove,1,5,0.8137254901960784
splice,mlp_deep,ZScore,remove,1,6,0.8235294117647058
splice,mlp_deep,ZScore,remove,1,7,0.8088235294117647
splice,mlp_deep,ZScore,remove,1,8,0.8627450980392157
splice,mlp_deep,ZScore,remove,1,9,0.8382352941176471
splice,mlp_deep,ZScore,remove,2,0,0.824390243902439
splice,mlp_deep,ZScore,remove,2,1,0.7696078431372549
splice,mlp_deep,ZScore,remove,2,2,0.8529411764705882
splice,mlp_deep,ZScore,remove,2,3,0.8088235294117647
splice,mlp_deep,ZScore,remove,2,4,0.8627450980392157
splice,mlp_deep,ZScore,remove,2,5,0.8627450980392157
splice,mlp_deep,ZScore,remove,2,6,0.8431372549019608
splice,mlp_deep,ZScore,remove,2,7,0.8480392156862745
splice,mlp_deep,ZScore,remove,2,8,0.8578431372549019
splice,mlp_deep,ZScore,remove,2,9,0.8137254901960784
