dataset,model,detector,treatment,run,fold,score
splice,randomforest,ZScore,remove,0,0,0.975609756097561
splice,randomforest,ZScore,remove,0,1,0.9558823529411765
splice,randomforest,ZScore,remove,0,2,0.946078431372549
splice,randomforest,ZScore,remove,0,3,0.946078431372549
splice,randomforest,ZScore,remove,0,4,0.9411764705882353
splice,randomforest,ZScore,remove,0,5,0.946078431372549
splice,randomforest,ZScore,remove,0,6,0.9411764705882353
splice,randomforest,ZScore,remove,0,7,0.9313725490196079
splice,randomforest,ZScore,remove,0,8,0.946078431372549
splice,randomforest,ZScore,remove,0,9,0.9509803921568627
splice,randomforest,ZScore,remove,1,0,0.9219512195121952
splice,randomforest,ZScore,remove,1,1,0.9607843137254902
splice,randomforest,ZScore,remove,1,2,0.946078431372549
splice,randomforest,ZScore,remove,1,3,0.9362745098039216
splice,randomforest,ZScore,remove,1,4,0.946078431372549
splice,randomforest,ZScore,remove,1,5,0.9411764705882353
splice,randomforest,ZScore,remove,1,6,0.946078431372549
splice,randomforest,ZScore,remove,1,7,0.9509803921568627
splice,randomforest,ZScore,remove,1,8,0.9754901960784313
splice,randomforest,ZScore,remove,1,9,0.9411764705882353
splice,randomforest,ZScore,remove,2,0,0.9365853658536586
splice,randomforest,ZScore,remove,2,1,0.9411764705882353
splice,randomforest,ZScore,remove,2,2,0.9754901960784313
splice,randomforest,ZScore,remove,2,3,0.9264705882352942
splice,randomforest,ZScore,remove,2,4,0.946078431372549
splice,randomforest,ZScore,remove,2,5,0.9803921568627451
splice,randomforest,ZScore,remove,2,6,0.9558823529411765
splice,randomforest,ZScore,remove,2,7,0.9607843137254902
splice,randomforest,ZScore,remove,2,8,0.9411764705882353
splice,randomforest,ZScore,remove,2,9,0.946078431372549
