dataset,model,detector,treatment,run,fold,score
wine_quality,mlp,IsolationForest,remove,0,0,0.5089546569537654
wine_quality,mlp,IsolationForest,remove,0,1,0.5396065759238522
wine_quality,mlp,IsolationForest,remove,0,2,0.5039337240069061
wine_quality,mlp,IsolationForest,remove,0,3,0.5731901548953855
wine_quality,mlp,IsolationForest,remove,0,4,0.42617693214463614
wine_quality,mlp,IsolationForest,remove,0,5,0.4881828430138175
wine_quality,mlp,IsolationForest,remove,0,6,0.44336155471699584
wine_quality,mlp,IsolationForest,remove,0,7,0.45857659379852966
wine_quality,mlp,IsolationForest,remove,0,8,0.48672719949355286
wine_quality,mlp,IsolationForest,remove,0,9,0.5133662238802815
wine_quality,mlp,IsolationForest,remove,1,0,0.477812669322093
wine_quality,mlp,IsolationForest,remove,1,1,0.48668913383079726
wine_quality,mlp,IsolationForest,remove,1,2,0.465294728075536
wine_quality,mlp,IsolationForest,remove,1,3,0.43340382137613287
wine_quality,mlp,IsolationForest,remove,1,4,0.43362248055798447
wine_quality,mlp,IsolationForest,remove,1,5,0.5713771155127556
wine_quality,mlp,IsolationForest,remove,1,6,0.60787248874217
wine_quality,mlp,IsolationForest,remove,1,7,0.49141818211424515
wine_quality,mlp,IsolationForest,remove,1,8,0.44582963006866305
wine_quality,mlp,IsolationForest,remove,1,9,0.45016543983023033
wine_quality,mlp,IsolationForest,remove,2,0,0.4630163721558668
wine_quality,mlp,IsolationForest,remove,2,1,0.4903131728716429
wine_quality,mlp,IsolationForest,remove,2,2,0.4896890202545807
wine_quality,mlp,IsolationForest,remove,2,3,0.4856003897614754
wine_quality,mlp,IsolationForest,remove,2,4,0.5046714442051903
wine_quality,mlp,IsolationForest,remove,2,5,0.5113705471815905
wine_quality,mlp,IsolationForest,remove,2,6,0.47736434785180154
wine_quality,mlp,IsolationForest,remove,2,7,0.5476698264870179
wine_quality,mlp,IsolationForest,remove,2,8,0.4038903313444655
wine_quality,mlp,IsolationForest,remove,2,9,0.4848388551212175
