dataset,model,detector,treatment,run,fold,score
wine_quality,mlp,None,remove,0,0,0.4801198998175765
wine_quality,mlp,None,remove,0,1,0.5047583070424818
wine_quality,mlp,None,remove,0,2,0.48459337693099563
wine_quality,mlp,None,remove,0,3,0.5439177372019789
wine_quality,mlp,None,remove,0,4,0.42218389897110875
wine_quality,mlp,None,remove,0,5,0.4847407652318001
wine_quality,mlp,None,remove,0,6,0.44598752500922473
wine_quality,mlp,None,remove,0,7,0.45610162685299177
wine_quality,mlp,None,remove,0,8,0.4777194859832374
wine_quality,mlp,None,remove,0,9,0.43156067125909314
wine_quality,mlp,None,remove,1,0,0.4388032101780439
wine_quality,mlp,None,remove,1,1,0.4807316204584572
wine_quality,mlp,None,remove,1,2,0.43566955002199437
wine_quality,mlp,None,remove,1,3,0.4315662419570814
wine_quality,mlp,None,remove,1,4,0.4354239786633862
wine_quality,mlp,None,remove,1,5,0.558516159697205
wine_quality,mlp,None,remove,1,6,0.4770163857005321
wine_quality,mlp,None,remove,1,7,0.48384942094850325
wine_quality,mlp,None,remove,1,8,0.4413678654767147
wine_quality,mlp,None,remove,1,9,0.42812509440090074
wine_quality,mlp,None,remove,2,0,0.4959542051757052
wine_quality,mlp,None,remove,2,1,0.4625030207856333
wine_quality,mlp,None,remove,2,2,0.4723014346651826
wine_quality,mlp,None,remove,2,3,0.471323087820986
wine_quality,mlp,None,remove,2,4,0.4870029512322429
wine_quality,mlp,None,remove,2,5,0.4792306076268906
wine_quality,mlp,None,remove,2,6,0.4424799421032933
wine_quality,mlp,None,remove,2,7,0.5192933168444906
wine_quality,mlp,None,remove,2,8,0.40765218998585356
wine_quality,mlp,None,remove,2,9,0.4892178973254375
