dataset,model,detector,treatment,run,fold,score
wine_quality,mlp,Percentile,clip,0,0,0.43538091491092135
wine_quality,mlp,Percentile,clip,0,1,0.5175202737004484
wine_quality,mlp,Percentile,clip,0,2,0.47927885906304746
wine_quality,mlp,Percentile,clip,0,3,0.5253353284788811
wine_quality,mlp,Percentile,clip,0,4,0.42561244555574745
wine_quality,mlp,Percentile,clip,0,5,0.5023937052162316
wine_quality,mlp,Percentile,clip,0,6,0.44370264526260517
wine_quality,mlp,Percentile,clip,0,7,0.4307052559892765
wine_quality,mlp,Percentile,clip,0,8,0.4823103095533089
wine_quality,mlp,Percentile,clip,0,9,0.4224997999935573
wine_quality,mlp,Percentile,clip,1,0,0.4489143597870546
wine_quality,mlp,Percentile,clip,1,1,0.5018575082774385
wine_quality,mlp,Percentile,clip,1,2,0.45178882345576604
wine_quality,mlp,Percentile,clip,1,3,0.42880859622411466
wine_quality,mlp,Percentile,clip,1,4,0.4209391905287204
wine_quality,mlp,Percentile,clip,1,5,0.5481248205252518
wine_quality,mlp,Percentile,clip,1,6,0.47365634974398346
wine_quality,mlp,Percentile,clip,1,7,0.48251983197886933
wine_quality,mlp,Percentile,clip,1,8,0.4468417454230587
wine_quality,mlp,Percentile,clip,1,9,0.42002708781775083
wine_quality,mlp,Percentile,clip,2,0,0.4871061615424761
wine_quality,mlp,Percentile,clip,2,1,0.46306511278525225
wine_quality,mlp,Percentile,clip,2,2,0.46130954592993056
wine_quality,mlp,Percentile,clip,2,3,0.472629910813006
wine_quality,mlp,Percentile,clip,2,4,0.4590905265777526
wine_quality,mlp,Percentile,clip,2,5,0.4803840563745579
wine_quality,mlp,Percentile,clip,2,6,0.4568528663317358
wine_quality,mlp,Percentile,clip,2,7,0.5191051703650935
wine_quality,mlp,Percentile,clip,2,8,0.4047005773356232
wine_quality,mlp,Percentile,clip,2,9,0.46963699935115377
