dataset,model,detector,treatment,run,fold,score
wine_quality,mlp,Percentile,remove,0,0,0.9964880701505276
wine_quality,mlp,Percentile,remove,0,1,1.7485123782172485
wine_quality,mlp,Percentile,remove,0,2,1.3632696170242757
wine_quality,mlp,Percentile,remove,0,3,2.249606896940255
wine_quality,mlp,Percentile,remove,0,4,2.3038254902099533
wine_quality,mlp,Percentile,remove,0,5,0.8024007048609525
wine_quality,mlp,Percentile,remove,0,6,0.6991752655607416
wine_quality,mlp,Percentile,remove,0,7,1.0987482884277322
wine_quality,mlp,Percentile,remove,0,8,1.7863975864764312
wine_quality,mlp,Percentile,remove,0,9,2.1012110971052027
wine_quality,mlp,Percentile,remove,1,0,1.6519512580040425
wine_quality,mlp,Percentile,remove,1,1,1.7741539907567527
wine_quality,mlp,Percentile,remove,1,2,2.0778752743572557
wine_quality,mlp,Percentile,remove,1,3,0.7750181595822716
wine_quality,mlp,Percentile,remove,1,4,1.9629144392784044
wine_quality,mlp,Percentile,remove,1,5,1.8141075509035824
wine_quality,mlp,Percentile,remove,1,6,2.089369827112132
wine_quality,mlp,Percentile,remove,1,7,1.0730663662207485
wine_quality,mlp,Percentile,remove,1,8,2.500796299424414
wine_quality,mlp,Percentile,remove,1,9,0.8298304311248804
wine_quality,mlp,Percentile,remove,2,0,0.839804052683105
wine_quality,mlp,Percentile,remove,2,1,1.8046413106047032
wine_quality,mlp,Percentile,remove,2,2,1.1919993705122995
wine_quality,mlp,Percentile,remove,2,3,2.1306904607896247
wine_quality,mlp,Percentile,remove,2,4,0.9934415361426431
wine_quality,mlp,Percentile,remove,2,5,1.6738627757753177
wine_quality,mlp,Percentile,remove,2,6,1.6174718148314529
wine_quality,mlp,Percentile,remove,2,7,2.8203716464436837
wine_quality,mlp,Percentile,remove,2,8,0.9393901567268715
wine_quality,mlp,Percentile,remove,2,9,0.8895666478009077
