dataset,model,detector,treatment,run,fold,score
wine_quality,mlp,ZScore,clip,0,0,0.4280667298218086
wine_quality,mlp,ZScore,clip,0,1,0.51593588073752
wine_quality,mlp,ZScore,clip,0,2,0.4711842429086252
wine_quality,mlp,ZScore,clip,0,3,0.5389355628129938
wine_quality,mlp,ZScore,clip,0,4,0.4170009880746891
wine_quality,mlp,ZScore,clip,0,5,0.5055024424390699
wine_quality,mlp,ZScore,clip,0,6,0.44073846945526485
wine_quality,mlp,ZScore,clip,0,7,0.4569685881645943
wine_quality,mlp,ZScore,clip,0,8,0.4645394818560641
wine_quality,mlp,ZScore,clip,0,9,0.43534506386969096
wine_quality,mlp,ZScore,clip,1,0,0.4457603121238037
wine_quality,mlp,ZScore,clip,1,1,0.4918025786085071
wine_quality,mlp,ZScore,clip,1,2,0.43617721467864495
wine_quality,mlp,ZScore,clip,1,3,0.4222344242142005
wine_quality,mlp,ZScore,clip,1,4,0.4165210422371495
wine_quality,mlp,ZScore,clip,1,5,0.5791394754714901
wine_quality,mlp,ZScore,clip,1,6,0.480519622060729
wine_quality,mlp,ZScore,clip,1,7,0.49005357941179895
wine_quality,mlp,ZScore,clip,1,8,0.44577043476990746
wine_quality,mlp,ZScore,clip,1,9,0.42768222325496497
wine_quality,mlp,ZScore,clip,2,0,0.5001753894858948
wine_quality,mlp,ZScore,clip,2,1,0.46403992253984916
wine_quality,mlp,ZScore,clip,2,2,0.46213120589737056
wine_quality,mlp,ZScore,clip,2,3,0.46073876461570856
wine_quality,mlp,ZScore,clip,2,4,0.47840380011876504
wine_quality,mlp,ZScore,clip,2,5,0.48539054861184633
wine_quality,mlp,ZScore,clip,2,6,0.4552629322245
wine_quality,mlp,ZScore,clip,2,7,0.5370081043718603
wine_quality,mlp,ZScore,clip,2,8,0.4141827360981824
wine_quality,mlp,ZScore,clip,2,9,0.4935881451618436
