dataset,model,detector,treatment,run,fold,score
wine_quality,mlp_deep,Autoencoder,remove,0,0,0.47405609636785695
wine_quality,mlp_deep,Autoencoder,remove,0,1,0.5167455348300765
wine_quality,mlp_deep,Autoencoder,remove,0,2,0.5149625276409016
wine_quality,mlp_deep,Autoencoder,remove,0,3,0.5463092672743941
wine_quality,mlp_deep,Autoencoder,remove,0,4,0.43298637548465546
wine_quality,mlp_deep,Autoencoder,remove,0,5,0.5189114020743537
wine_quality,mlp_deep,Autoencoder,remove,0,6,0.4505056323979407
wine_quality,mlp_deep,Autoencoder,remove,0,7,0.4547985203849594
wine_quality,mlp_deep,Autoencoder,remove,0,8,0.4989084351286485
wine_quality,mlp_deep,Autoencoder,remove,0,9,0.4407788834156629
wine_quality,mlp_deep,Autoencoder,remove,1,0,0.49028063454416215
wine_quality,mlp_deep,Autoencoder,remove,1,1,0.5213218845038574
wine_quality,mlp_deep,Autoencoder,remove,1,2,0.45424106448968105
wine_quality,mlp_deep,Autoencoder,remove,1,3,0.4430498186400978
wine_quality,mlp_deep,Autoencoder,remove,1,4,0.4618209330778882
wine_quality,mlp_deep,Autoencoder,remove,1,5,0.6044447967165533
wine_quality,mlp_deep,Autoencoder,remove,1,6,0.5022615983420112
wine_quality,mlp_deep,Autoencoder,remove,1,7,0.5237931915198347
wine_quality,mlp_deep,Autoencoder,remove,1,8,0.4878565002615841
wine_quality,mlp_deep,Autoencoder,remove,1,9,0.4413776704456468
wine_quality,mlp_deep,Autoencoder,remove,2,0,0.461647413843685
wine_quality,mlp_deep,Autoencoder,remove,2,1,0.4985356906223355
wine_quality,mlp_deep,Autoencoder,remove,2,2,0.4926761306822976
wine_quality,mlp_deep,Autoencoder,remove,2,3,0.5087418345938391
wine_quality,mlp_deep,Autoencoder,remove,2,4,0.49948808779854575
wine_quality,mlp_deep,Autoencoder,remove,2,5,0.4902859295433511
wine_quality,mlp_deep,Autoencoder,remove,2,6,0.46551734643305526
wine_quality,mlp_deep,Autoencoder,remove,2,7,0.528989959876842
wine_quality,mlp_deep,Autoencoder,remove,2,8,0.42565761920430234
wine_quality,mlp_deep,Autoencoder,remove,2,9,0.5288590453221417
