dataset,model,detector,treatment,run,fold,score
wine_quality,mlp_deep,IsolationForest,remove,0,0,0.48384311335167635
wine_quality,mlp_deep,IsolationForest,remove,0,1,0.5681642105865451
wine_quality,mlp_deep,IsolationForest,remove,0,2,0.529838827272875
wine_quality,mlp_deep,IsolationForest,remove,0,3,0.611335040778106
wine_quality,mlp_deep,IsolationForest,remove,0,4,0.48814222261140305
wine_quality,mlp_deep,IsolationForest,remove,0,5,0.5004968835819305
wine_quality,mlp_deep,IsolationForest,remove,0,6,0.4624907799426566
wine_quality,mlp_deep,IsolationForest,remove,0,7,0.5570959708958915
wine_quality,mlp_deep,IsolationForest,remove,0,8,0.5513487524216448
wine_quality,mlp_deep,IsolationForest,remove,0,9,0.496096826346792
wine_quality,mlp_deep,IsolationForest,remove,1,0,0.5597737496517454
wine_quality,mlp_deep,IsolationForest,remove,1,1,0.5118767921084325
wine_quality,mlp_deep,IsolationForest,remove,1,2,0.5249741127262018
wine_quality,mlp_deep,IsolationForest,remove,1,3,0.4876060342304893
wine_quality,mlp_deep,IsolationForest,remove,1,4,0.5166101223646515
wine_quality,mlp_deep,IsolationForest,remove,1,5,0.6101532788907053
wine_quality,mlp_deep,IsolationForest,remove,1,6,0.7252611221803803
wine_quality,mlp_deep,IsolationForest,remove,1,7,0.5769100380783022
wine_quality,mlp_deep,IsolationForest,remove,1,8,0.5115617370363648
wine_quality,mlp_deep,IsolationForest,remove,1,9,0.4962474193533009
wine_quality,mlp_deep,IsolationForest,remove,2,0,0.48644621154286394
wine_quality,mlp_deep,IsolationForest,remove,2,1,0.5163991822118074
wine_quality,mlp_deep,IsolationForest,remove,2,2,0.5225535079408827
wine_quality,mlp_deep,IsolationForest,remove,2,3,0.521557479634846
wine_quality,mlp_deep,IsolationForest,remove,2,4,0.49920728763910177
wine_quality,mlp_deep,IsolationForest,remove,2,5,0.5461504638013139
wine_quality,mlp_deep,IsolationForest,remove,2,6,0.5213357894869755
wine_quality,mlp_deep,IsolationForest,remove,2,7,0.5811106546443102
wine_quality,mlp_deep,IsolationForest,remove,2,8,0.43509118188687723
wine_quality,mlp_deep,IsolationForest,remove,2,9,0.5247641580686466
