dataset,model,detector,treatment,run,fold,score
wine_quality,mlp_deep,Percentile,clip,0,0,0.430863457675619
wine_quality,mlp_deep,Percentile,clip,0,1,0.5278970001953999
wine_quality,mlp_deep,Percentile,clip,0,2,0.4647628833139346
wine_quality,mlp_deep,Percentile,clip,0,3,0.5492042076532923
wine_quality,mlp_deep,Percentile,clip,0,4,0.44662148769082843
wine_quality,mlp_deep,Percentile,clip,0,5,0.537615905207664
wine_quality,mlp_deep,Percentile,clip,0,6,0.4591877967489968
wine_quality,mlp_deep,Percentile,clip,0,7,0.46188249190636066
wine_quality,mlp_deep,Percentile,clip,0,8,0.5141742623130385
wine_quality,mlp_deep,Percentile,clip,0,9,0.44430942225941256
wine_quality,mlp_deep,Percentile,clip,1,0,0.45419502894161556
wine_quality,mlp_deep,Percentile,clip,1,1,0.5141625268002306
wine_quality,mlp_deep,Percentile,clip,1,2,0.45742010803454314
wine_quality,mlp_deep,Percentile,clip,1,3,0.460823830712676
wine_quality,mlp_deep,Percentile,clip,1,4,0.46751679216830877
wine_quality,mlp_deep,Percentile,clip,1,5,0.5729363986100471
wine_quality,mlp_deep,Percentile,clip,1,6,0.49377665080724376
wine_quality,mlp_deep,Percentile,clip,1,7,0.49464808223149287
wine_quality,mlp_deep,Percentile,clip,1,8,0.5077423826757345
wine_quality,mlp_deep,Percentile,clip,1,9,0.45636339669943793
wine_quality,mlp_deep,Percentile,clip,2,0,0.4781849964967476
wine_quality,mlp_deep,Percentile,clip,2,1,0.47668266974584483
wine_quality,mlp_deep,Percentile,clip,2,2,0.481465018682733
wine_quality,mlp_deep,Percentile,clip,2,3,0.49481507460381735
wine_quality,mlp_deep,Percentile,clip,2,4,0.4702509021336198
wine_quality,mlp_deep,Percentile,clip,2,5,0.5163172433780979
wine_quality,mlp_deep,Percentile,clip,2,6,0.4533453120765819
wine_quality,mlp_deep,Percentile,clip,2,7,0.5310087914762674
wine_quality,mlp_deep,Percentile,clip,2,8,0.41605878553372977
wine_quality,mlp_deep,Percentile,clip,2,9,0.4864053924104407
