dataset,model,detector,treatment,run,fold,score
wine_quality,mlp_deep,ZScore,clip,0,0,0.44548701755097453
wine_quality,mlp_deep,ZScore,clip,0,1,0.5266000212894094
wine_quality,mlp_deep,ZScore,clip,0,2,0.47724097327278514
wine_quality,mlp_deep,ZScore,clip,0,3,0.5492050130317412
wine_quality,mlp_deep,ZScore,clip,0,4,0.4236962595963434
wine_quality,mlp_deep,ZScore,clip,0,5,0.5180914431470488
wine_quality,mlp_deep,ZScore,clip,0,6,0.4524977228731038
wine_quality,mlp_deep,ZScore,clip,0,7,0.45040805974838266
wine_quality,mlp_deep,ZScore,clip,0,8,0.5048531101216286
wine_quality,mlp_deep,ZScore,clip,0,9,0.45598419064410967
wine_quality,mlp_deep,ZScore,clip,1,0,0.46479892871609024
wine_quality,mlp_deep,ZScore,clip,1,1,0.5289909620869364
wine_quality,mlp_deep,ZScore,clip,1,2,0.445658823781083
wine_quality,mlp_deep,ZScore,clip,1,3,0.4451828023250683
wine_quality,mlp_deep,ZScore,clip,1,4,0.4512600348448172
wine_quality,mlp_deep,ZScore,clip,1,5,0.5777643957552037
wine_quality,mlp_deep,ZScore,clip,1,6,0.4876626352532968
wine_quality,mlp_deep,ZScore,clip,1,7,0.4887433619154942
wine_quality,mlp_deep,ZScore,clip,1,8,0.49769025807108347
wine_quality,mlp_deep,ZScore,clip,1,9,0.4474738149365822
wine_quality,mlp_deep,ZScore,clip,2,0,0.483925077835304
wine_quality,mlp_deep,ZScore,clip,2,1,0.47778095044999525
wine_quality,mlp_deep,ZScore,clip,2,2,0.4796984514857735
wine_quality,mlp_deep,ZScore,clip,2,3,0.4860173696522337
wine_quality,mlp_deep,ZScore,clip,2,4,0.4854167373692005
wine_quality,mlp_deep,ZScore,clip,2,5,0.5094248267211324
wine_quality,mlp_deep,ZScore,clip,2,6,0.46542183667433024
wine_quality,mlp_deep,ZScore,clip,2,7,0.5242189916696509
wine_quality,mlp_deep,ZScore,clip,2,8,0.41442653874103524
wine_quality,mlp_deep,ZScore,clip,2,9,0.5056715318399163
