dataset,model,detector,treatment,run,fold,score
wine_quality,mlp_deep,ZScore,remove,0,0,0.4794317358972381
wine_quality,mlp_deep,ZScore,remove,0,1,0.5850488766663542
wine_quality,mlp_deep,ZScore,remove,0,2,0.5782604605368766
wine_quality,mlp_deep,ZScore,remove,0,3,0.858133102444874
wine_quality,mlp_deep,ZScore,remove,0,4,0.5721683898419629
wine_quality,mlp_deep,ZScore,remove,0,5,0.5574619551382406
wine_quality,mlp_deep,ZScore,remove,0,6,0.45269797623027164
wine_quality,mlp_deep,ZScore,remove,0,7,0.5319530389359132
wine_quality,mlp_deep,ZScore,remove,0,8,0.5233236697772262
wine_quality,mlp_deep,ZScore,remove,0,9,0.521796590122021
wine_quality,mlp_deep,ZScore,remove,1,0,0.9271413473282174
wine_quality,mlp_deep,ZScore,remove,1,1,0.554689687776152
wine_quality,mlp_deep,ZScore,remove,1,2,0.5437490468201243
wine_quality,mlp_deep,ZScore,remove,1,3,0.45990004145710184
wine_quality,mlp_deep,ZScore,remove,1,4,0.7538652964641155
wine_quality,mlp_deep,ZScore,remove,1,5,0.9059426111952605
wine_quality,mlp_deep,ZScore,remove,1,6,0.6429322730985287
wine_quality,mlp_deep,ZScore,remove,1,7,0.5923688274177029
wine_quality,mlp_deep,ZScore,remove,1,8,0.7099549899359366
wine_quality,mlp_deep,ZScore,remove,1,9,0.45934154551237333
wine_quality,mlp_deep,ZScore,remove,2,0,0.5135172452886068
wine_quality,mlp_deep,ZScore,remove,2,1,0.5249292728223633
wine_quality,mlp_deep,ZScore,remove,2,2,0.5802869415623135
wine_quality,mlp_deep,ZScore,remove,2,3,0.7006181995352825
wine_quality,mlp_deep,ZScore,remove,2,4,0.5189672205404209
wine_quality,mlp_deep,ZScore,remove,2,5,0.7365870469344856
wine_quality,mlp_deep,ZScore,remove,2,6,0.6231136042222227
wine_quality,mlp_deep,ZScore,remove,2,7,0.9843489753372752
wine_quality,mlp_deep,ZScore,remove,2,8,0.4817615548789017
wine_quality,mlp_deep,ZScore,remove,2,9,0.5709454271840085
