dataset,model,detector,treatment,run,fold,score
wine_quality,randomforest,Autoencoder,remove,0,0,0.333934375
wine_quality,randomforest,Autoencoder,remove,0,1,0.45186658653846157
wine_quality,randomforest,Autoencoder,remove,0,2,0.4214346153846153
wine_quality,randomforest,Autoencoder,remove,0,3,0.46450048076923084
wine_quality,randomforest,Autoencoder,remove,0,4,0.37995360576923076
wine_quality,randomforest,Autoencoder,remove,0,5,0.4262509615384615
wine_quality,randomforest,Autoencoder,remove,0,6,0.3711338942307692
wine_quality,randomforest,Autoencoder,remove,0,7,0.4348171084337349
wine_quality,randomforest,Autoencoder,remove,0,8,0.4000012048192771
wine_quality,randomforest,Autoencoder,remove,0,9,0.37038265060240966
wine_quality,randomforest,Autoencoder,remove,1,0,0.3722625
wine_quality,randomforest,Autoencoder,remove,1,1,0.3981319711538462
wine_quality,randomforest,Autoencoder,remove,1,2,0.4028956730769231
wine_quality,randomforest,Autoencoder,remove,1,3,0.3349706730769231
wine_quality,randomforest,Autoencoder,remove,1,4,0.3825350961538461
wine_quality,randomforest,Autoencoder,remove,1,5,0.49767283653846156
wine_quality,randomforest,Autoencoder,remove,1,6,0.3932584134615385
wine_quality,randomforest,Autoencoder,remove,1,7,0.43250216867469876
wine_quality,randomforest,Autoencoder,remove,1,8,0.3984821686746988
wine_quality,randomforest,Autoencoder,remove,1,9,0.3643857831325301
wine_quality,randomforest,Autoencoder,remove,2,0,0.4031454326923077
wine_quality,randomforest,Autoencoder,remove,2,1,0.403876923076923
wine_quality,randomforest,Autoencoder,remove,2,2,0.4255668269230769
wine_quality,randomforest,Autoencoder,remove,2,3,0.43057908653846155
wine_quality,randomforest,Autoencoder,remove,2,4,0.3908805288461539
wine_quality,randomforest,Autoencoder,remove,2,5,0.3907475961538462
wine_quality,randomforest,Autoencoder,remove,2,6,0.4070855769230769
wine_quality,randomforest,Autoencoder,remove,2,7,0.39356481927710846
wine_quality,randomforest,Autoencoder,remove,2,8,0.3492867469879518
wine_quality,randomforest,Autoencoder,remove,2,9,0.41300722891566266
