dataset,model,detector,treatment,run,fold,score
wine_quality,randomforest,Percentile,clip,0,0,0.32640360576923083
wine_quality,randomforest,Percentile,clip,0,1,0.42352812500000003
wine_quality,randomforest,Percentile,clip,0,2,0.4135810096153847
wine_quality,randomforest,Percentile,clip,0,3,0.4261713942307693
wine_quality,randomforest,Percentile,clip,0,4,0.3707300480769231
wine_quality,randomforest,Percentile,clip,0,5,0.4112824519230769
wine_quality,randomforest,Percentile,clip,0,6,0.3620586538461538
wine_quality,randomforest,Percentile,clip,0,7,0.39113590361445777
wine_quality,randomforest,Percentile,clip,0,8,0.3898884337349398
wine_quality,randomforest,Percentile,clip,0,9,0.3612320481927711
wine_quality,randomforest,Percentile,clip,1,0,0.38757451923076924
wine_quality,randomforest,Percentile,clip,1,1,0.3921216346153846
wine_quality,randomforest,Percentile,clip,1,2,0.39165168269230766
wine_quality,randomforest,Percentile,clip,1,3,0.3405632211538462
wine_quality,randomforest,Percentile,clip,1,4,0.34703052884615393
wine_quality,randomforest,Percentile,clip,1,5,0.4627617788461538
wine_quality,randomforest,Percentile,clip,1,6,0.3598492788461538
wine_quality,randomforest,Percentile,clip,1,7,0.408530843373494
wine_quality,randomforest,Percentile,clip,1,8,0.4013653012048193
wine_quality,randomforest,Percentile,clip,1,9,0.3308016867469879
wine_quality,randomforest,Percentile,clip,2,0,0.39287932692307687
wine_quality,randomforest,Percentile,clip,2,1,0.37459783653846157
wine_quality,randomforest,Percentile,clip,2,2,0.4176658653846154
wine_quality,randomforest,Percentile,clip,2,3,0.4173161057692308
wine_quality,randomforest,Percentile,clip,2,4,0.39735168269230764
wine_quality,randomforest,Percentile,clip,2,5,0.37241442307692313
wine_quality,randomforest,Percentile,clip,2,6,0.35563437500000006
wine_quality,randomforest,Percentile,clip,2,7,0.39686409638554215
wine_quality,randomforest,Percentile,clip,2,8,0.34597879518072294
wine_quality,randomforest,Percentile,clip,2,9,0.4057026506024097
