dataset,model,detector,treatment,run,fold,score
wine_quality,xgboost,Autoencoder,remove,0,0,0.4250044822692871
wine_quality,xgboost,Autoencoder,remove,0,1,0.49076181650161743
wine_quality,xgboost,Autoencoder,remove,0,2,0.47480112314224243
wine_quality,xgboost,Autoencoder,remove,0,3,0.528049111366272
wine_quality,xgboost,Autoencoder,remove,0,4,0.4213782846927643
wine_quality,xgboost,Autoencoder,remove,0,5,0.45599958300590515
wine_quality,xgboost,Autoencoder,remove,0,6,0.4004778563976288
wine_quality,xgboost,Autoencoder,remove,0,7,0.4626756012439728
wine_quality,xgboost,Autoencoder,remove,0,8,0.4733123779296875
wine_quality,xgboost,Autoencoder,remove,0,9,0.43627074360847473
wine_quality,xgboost,Autoencoder,remove,1,0,0.4629312753677368
wine_quality,xgboost,Autoencoder,remove,1,1,0.4066592752933502
wine_quality,xgboost,Autoencoder,remove,1,2,0.41938620805740356
wine_quality,xgboost,Autoencoder,remove,1,3,0.39962100982666016
wine_quality,xgboost,Autoencoder,remove,1,4,0.4070267379283905
wine_quality,xgboost,Autoencoder,remove,1,5,0.5422898530960083
wine_quality,xgboost,Autoencoder,remove,1,6,0.4184446930885315
wine_quality,xgboost,Autoencoder,remove,1,7,0.45231157541275024
wine_quality,xgboost,Autoencoder,remove,1,8,0.4625728726387024
wine_quality,xgboost,Autoencoder,remove,1,9,0.3977675437927246
wine_quality,xgboost,Autoencoder,remove,2,0,0.44484996795654297
wine_quality,xgboost,Autoencoder,remove,2,1,0.39732280373573303
wine_quality,xgboost,Autoencoder,remove,2,2,0.46147677302360535
wine_quality,xgboost,Autoencoder,remove,2,3,0.4592842757701874
wine_quality,xgboost,Autoencoder,remove,2,4,0.4540395736694336
wine_quality,xgboost,Autoencoder,remove,2,5,0.4736934006214142
wine_quality,xgboost,Autoencoder,remove,2,6,0.45223045349121094
wine_quality,xgboost,Autoencoder,remove,2,7,0.427929162979126
wine_quality,xgboost,Autoencoder,remove,2,8,0.35792240500450134
wine_quality,xgboost,Autoencoder,remove,2,9,0.4313414692878723
