dataset,model,detector,treatment,run,fold,score
wine_quality,xgboost,LOF,remove,0,0,0.38885945081710815
wine_quality,xgboost,LOF,remove,0,1,0.4284021556377411
wine_quality,xgboost,LOF,remove,0,2,0.439104288816452
wine_quality,xgboost,LOF,remove,0,3,0.5136147141456604
wine_quality,xgboost,LOF,remove,0,4,0.39202821254730225
wine_quality,xgboost,LOF,remove,0,5,0.4599990248680115
wine_quality,xgboost,LOF,remove,0,6,0.3750273585319519
wine_quality,xgboost,LOF,remove,0,7,0.4066912829875946
wine_quality,xgboost,LOF,remove,0,8,0.49393361806869507
wine_quality,xgboost,LOF,remove,0,9,0.4542641043663025
wine_quality,xgboost,LOF,remove,1,0,0.44331395626068115
wine_quality,xgboost,LOF,remove,1,1,0.45181867480278015
wine_quality,xgboost,LOF,remove,1,2,0.4465201795101166
wine_quality,xgboost,LOF,remove,1,3,0.37490832805633545
wine_quality,xgboost,LOF,remove,1,4,0.400692343711853
wine_quality,xgboost,LOF,remove,1,5,0.5104244947433472
wine_quality,xgboost,LOF,remove,1,6,0.3886285126209259
wine_quality,xgboost,LOF,remove,1,7,0.42959150671958923
wine_quality,xgboost,LOF,remove,1,8,0.4523368775844574
wine_quality,xgboost,LOF,remove,1,9,0.43098577857017517
wine_quality,xgboost,LOF,remove,2,0,0.4630240201950073
wine_quality,xgboost,LOF,remove,2,1,0.37625181674957275
wine_quality,xgboost,LOF,remove,2,2,0.4630725681781769
wine_quality,xgboost,LOF,remove,2,3,0.4941815733909607
wine_quality,xgboost,LOF,remove,2,4,0.45223838090896606
wine_quality,xgboost,LOF,remove,2,5,0.46334347128868103
wine_quality,xgboost,LOF,remove,2,6,0.4125661253929138
wine_quality,xgboost,LOF,remove,2,7,0.4359153211116791
wine_quality,xgboost,LOF,remove,2,8,0.37724196910858154
wine_quality,xgboost,LOF,remove,2,9,0.4495849907398224
