dataset,model,detector,treatment,run,fold,score
wine_quality,xgboost,None,remove,0,0,0.3827880024909973
wine_quality,xgboost,None,remove,0,1,0.43806788325309753
wine_quality,xgboost,None,remove,0,2,0.4396325349807739
wine_quality,xgboost,None,remove,0,3,0.5209618806838989
wine_quality,xgboost,None,remove,0,4,0.3931737542152405
wine_quality,xgboost,None,remove,0,5,0.44783133268356323
wine_quality,xgboost,None,remove,0,6,0.42211490869522095
wine_quality,xgboost,None,remove,0,7,0.41764721274375916
wine_quality,xgboost,None,remove,0,8,0.4569980800151825
wine_quality,xgboost,None,remove,0,9,0.3968536853790283
wine_quality,xgboost,None,remove,1,0,0.45672672986984253
wine_quality,xgboost,None,remove,1,1,0.41031521558761597
wine_quality,xgboost,None,remove,1,2,0.4021477997303009
wine_quality,xgboost,None,remove,1,3,0.3678470253944397
wine_quality,xgboost,None,remove,1,4,0.38839957118034363
wine_quality,xgboost,None,remove,1,5,0.47772693634033203
wine_quality,xgboost,None,remove,1,6,0.40190500020980835
wine_quality,xgboost,None,remove,1,7,0.4390661120414734
wine_quality,xgboost,None,remove,1,8,0.45444348454475403
wine_quality,xgboost,None,remove,1,9,0.4237593710422516
wine_quality,xgboost,None,remove,2,0,0.4270952641963959
wine_quality,xgboost,None,remove,2,1,0.40363678336143494
wine_quality,xgboost,None,remove,2,2,0.48406755924224854
wine_quality,xgboost,None,remove,2,3,0.4729706346988678
wine_quality,xgboost,None,remove,2,4,0.4538719356060028
wine_quality,xgboost,None,remove,2,5,0.45242831110954285
wine_quality,xgboost,None,remove,2,6,0.39281579852104187
wine_quality,xgboost,None,remove,2,7,0.43904414772987366
wine_quality,xgboost,None,remove,2,8,0.37905484437942505
wine_quality,xgboost,None,remove,2,9,0.43243202567100525
