dataset,model,detector,treatment,run,fold,score
wine_quality,xgboost,Percentile,remove,0,0,0.6303295493125916
wine_quality,xgboost,Percentile,remove,0,1,0.6520518064498901
wine_quality,xgboost,Percentile,remove,0,2,0.5985928177833557
wine_quality,xgboost,Percentile,remove,0,3,0.6256228089332581
wine_quality,xgboost,Percentile,remove,0,4,0.5406476259231567
wine_quality,xgboost,Percentile,remove,0,5,0.6093728542327881
wine_quality,xgboost,Percentile,remove,0,6,0.5816670656204224
wine_quality,xgboost,Percentile,remove,0,7,0.7077293992042542
wine_quality,xgboost,Percentile,remove,0,8,0.5825475454330444
wine_quality,xgboost,Percentile,remove,0,9,0.47767138481140137
wine_quality,xgboost,Percentile,remove,1,0,0.608745813369751
wine_quality,xgboost,Percentile,remove,1,1,0.6484889984130859
wine_quality,xgboost,Percentile,remove,1,2,0.5908699631690979
wine_quality,xgboost,Percentile,remove,1,3,0.5706726908683777
wine_quality,xgboost,Percentile,remove,1,4,0.6251356601715088
wine_quality,xgboost,Percentile,remove,1,5,0.6738066077232361
wine_quality,xgboost,Percentile,remove,1,6,0.5345544219017029
wine_quality,xgboost,Percentile,remove,1,7,0.6172574162483215
wine_quality,xgboost,Percentile,remove,1,8,0.5886346101760864
wine_quality,xgboost,Percentile,remove,1,9,0.5309412479400635
wine_quality,xgboost,Percentile,remove,2,0,0.5418250560760498
wine_quality,xgboost,Percentile,remove,2,1,0.5300342440605164
wine_quality,xgboost,Percentile,remove,2,2,0.6158715486526489
wine_quality,xgboost,Percentile,remove,2,3,0.5860435962677002
wine_quality,xgboost,Percentile,remove,2,4,0.5648658275604248
wine_quality,xgboost,Percentile,remove,2,5,0.6225684285163879
wine_quality,xgboost,Percentile,remove,2,6,0.7354114055633545
wine_quality,xgboost,Percentile,remove,2,7,0.6070325970649719
wine_quality,xgboost,Percentile,remove,2,8,0.5324558019638062
wine_quality,xgboost,Percentile,remove,2,9,0.6117311120033264
