dataset,model,detector,treatment,run,fold,score
wine_quality,xgboost,ZScore,clip,0,0,0.3680940866470337
wine_quality,xgboost,ZScore,clip,0,1,0.45193856954574585
wine_quality,xgboost,ZScore,clip,0,2,0.434699684381485
wine_quality,xgboost,ZScore,clip,0,3,0.5051753520965576
wine_quality,xgboost,ZScore,clip,0,4,0.38321352005004883
wine_quality,xgboost,ZScore,clip,0,5,0.4770964980125427
wine_quality,xgboost,ZScore,clip,0,6,0.4086427092552185
wine_quality,xgboost,ZScore,clip,0,7,0.42084988951683044
wine_quality,xgboost,ZScore,clip,0,8,0.48804518580436707
wine_quality,xgboost,ZScore,clip,0,9,0.4275839328765869
wine_quality,xgboost,ZScore,clip,1,0,0.41065484285354614
wine_quality,xgboost,ZScore,clip,1,1,0.3929060399532318
wine_quality,xgboost,ZScore,clip,1,2,0.3938463628292084
wine_quality,xgboost,ZScore,clip,1,3,0.3599672317504883
wine_quality,xgboost,ZScore,clip,1,4,0.37467876076698303
wine_quality,xgboost,ZScore,clip,1,5,0.5000777840614319
wine_quality,xgboost,ZScore,clip,1,6,0.4128863215446472
wine_quality,xgboost,ZScore,clip,1,7,0.44627273082733154
wine_quality,xgboost,ZScore,clip,1,8,0.4371693730354309
wine_quality,xgboost,ZScore,clip,1,9,0.39473462104797363
wine_quality,xgboost,ZScore,clip,2,0,0.4199196994304657
wine_quality,xgboost,ZScore,clip,2,1,0.39096900820732117
wine_quality,xgboost,ZScore,clip,2,2,0.48984581232070923
wine_quality,xgboost,ZScore,clip,2,3,0.46473151445388794
wine_quality,xgboost,ZScore,clip,2,4,0.4180835485458374
wine_quality,xgboost,ZScore,clip,2,5,0.42939865589141846
wine_quality,xgboost,ZScore,clip,2,6,0.37439629435539246
wine_quality,xgboost,ZScore,clip,2,7,0.40654483437538147
wine_quality,xgboost,ZScore,clip,2,8,0.3677282929420471
wine_quality,xgboost,ZScore,clip,2,9,0.42210879921913147
