dataset,model,detector,treatment,run,fold,score
wine_quality,xgboost,ZScore,remove,0,0,0.4021129012107849
wine_quality,xgboost,ZScore,remove,0,1,0.45190033316612244
wine_quality,xgboost,ZScore,remove,0,2,0.4751688241958618
wine_quality,xgboost,ZScore,remove,0,3,0.4946739375591278
wine_quality,xgboost,ZScore,remove,0,4,0.4290657043457031
wine_quality,xgboost,ZScore,remove,0,5,0.4926709830760956
wine_quality,xgboost,ZScore,remove,0,6,0.41935303807258606
wine_quality,xgboost,ZScore,remove,0,7,0.4680468738079071
wine_quality,xgboost,ZScore,remove,0,8,0.44780391454696655
wine_quality,xgboost,ZScore,remove,0,9,0.38060781359672546
wine_quality,xgboost,ZScore,remove,1,0,0.46372973918914795
wine_quality,xgboost,ZScore,remove,1,1,0.4264311194419861
wine_quality,xgboost,ZScore,remove,1,2,0.4631619155406952
wine_quality,xgboost,ZScore,remove,1,3,0.40479734539985657
wine_quality,xgboost,ZScore,remove,1,4,0.3735836446285248
wine_quality,xgboost,ZScore,remove,1,5,0.5168651342391968
wine_quality,xgboost,ZScore,remove,1,6,0.4153054356575012
wine_quality,xgboost,ZScore,remove,1,7,0.4197985529899597
wine_quality,xgboost,ZScore,remove,1,8,0.44524234533309937
wine_quality,xgboost,ZScore,remove,1,9,0.38359764218330383
wine_quality,xgboost,ZScore,remove,2,0,0.4345337152481079
wine_quality,xgboost,ZScore,remove,2,1,0.38348153233528137
wine_quality,xgboost,ZScore,remove,2,2,0.46057894825935364
wine_quality,xgboost,ZScore,remove,2,3,0.4802579879760742
wine_quality,xgboost,ZScore,remove,2,4,0.46169063448905945
wine_quality,xgboost,ZScore,remove,2,5,0.47777822613716125
wine_quality,xgboost,ZScore,remove,2,6,0.41968682408332825
wine_quality,xgboost,ZScore,remove,2,7,0.3983429968357086
wine_quality,xgboost,ZScore,remove,2,8,0.37927091121673584
wine_quality,xgboost,ZScore,remove,2,9,0.4502784013748169
