method,elo
randomforest_nan_remove,1373.9646088165882
randomforest_ZScore_clip,1353.7304329166477
randomforest_Percentile_clip,1334.0468219165905
randomforest_IsolationForest_remove,1292.318715996186
randomforest_LOF_remove,1281.725411230308
randomforest_Autoencoder_remove,1262.9974981129044
randomforest_ZScore_remove,1259.6515094049175
xgboost_ZScore_clip,1197.2248884903047
xgboost_nan_remove,1114.1496277572935
xgboost_IsolationForest_remove,1075.7436662836608
xgboost_Percentile_clip,1068.2371549024335
xgboost_Autoencoder_remove,1060.9249054905715
xgboost_LOF_remove,1060.2180125070754
xgboost_ZScore_remove,1040.4227914903415
randomforest_None_remove,1000.0
randomforest_Percentile_remove,856.5471396120737
xgboost_Percentile_remove,802.757874542059
mlp_Percentile_clip,802.2520874146089
mlp_ZScore_clip,785.1109040955854
mlp_nan_remove,781.4991395174823
mlp_LOF_remove,745.7305557717602
mlp_Autoencoder_remove,678.2180951469654
mlp_ZScore_remove,650.3811129110877
mlp_IsolationForest_remove,609.44124762256
mlp_Percentile_remove,512.7057980499942
