method,median,p2.5,p97.5
xgboost_ZScore_clip,1170.6558782586521,836.47652725519,1394.168258021298
randomforest_None_remove,1159.267600614049,865.5756523790565,1347.060545353261
xgboost_None_remove,1151.2323392254293,748.3640691625623,1393.6082996009188
randomforest_ZScore_clip,1149.2512956449568,868.7386109489606,1337.0152099959455
randomforest_Autoencoder_remove,1119.3521059958648,859.3227474951384,1299.4506348255215
xgboost_Autoencoder_remove,1113.216215373921,743.6910174459207,1361.940663204748
xgboost_IsolationForest_remove,1107.9355479184615,790.3385336716991,1345.9121234669285
randomforest_IsolationForest_remove,1106.5943525550126,861.9997148015991,1320.4290442998142
xgboost_LOF_remove,1104.1398222627809,667.3310823696817,1304.4083842392542
randomforest_Percentile_clip,1091.3216825817112,812.1152377964167,1324.6218862616054
randomforest_ZScore_remove,1072.3459586758436,797.5378082840436,1273.440818650039
xgboost_Percentile_clip,1058.8448594693198,911.5694973310035,1299.4611495088848
randomforest_LOF_remove,1051.2551483187608,826.4755687991824,1266.631217143542
xgboost_ZScore_remove,1018.8924537545824,809.9475221337409,1329.5365909443003
mlp_ZScore_clip,889.1643719011112,679.677225573028,1229.2676137602107
mlp_None_remove,887.0827101495545,678.9683877994618,1275.4421644908655
mlp_LOF_remove,877.2076196034545,628.2492811394626,1178.8320243832763
mlp_Percentile_clip,873.328749930733,695.3082889505165,1130.3594380279694
randomforest_Percentile_remove,872.4984158553233,592.4535808143539,1277.3708264846232
xgboost_Percentile_remove,867.7840276383874,560.7119440341648,1217.4065538970283
mlp_Autoencoder_remove,861.6437238024179,579.898381404273,1186.6917820239446
mlp_IsolationForest_remove,855.9806662025949,586.3115673562339,1199.9262781628274
mlp_ZScore_remove,792.0510329877142,602.4854660114084,1185.657363570916
mlp_Percentile_remove,672.4074382298578,382.4889528447139,1200.4006562758973
