dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
elevators,0.0018 ± 0.0021,0.0043 ± 0.0148,0.0018 ± 0.0013,0.0024 ± 0.0036,0.0009 ± 0.0002,0.0057 ± 0.0017,0.003 ± 0.0059,0.002 ± 0.0007
eucalyptus,0.5397 ± 0.0727,0.5376 ± 0.075,0.5305 ± 0.0663,0.5447 ± 0.073,0.5518 ± 0.0737,0.4865 ± 0.0653,0.5447 ± 0.073,0.5447 ± 0.073
eye_movements,0.4195 ± 0.0252,0.4303 ± 0.0251,0.4248 ± 0.0217,0.4236 ± 0.0209,0.423 ± 0.019,0.4144 ± 0.0177,0.4241 ± 0.0178,0.4251 ± 0.021
house_16H,0.8757 ± 0.0097,0.8701 ± 0.0099,0.8752 ± 0.0106,0.8728 ± 0.0094,0.8746 ± 0.0122,0.8587 ± 0.0138,0.8729 ± 0.0114,0.8691 ± 0.0129
kc1,0.8495 ± 0.0311,0.8473 ± 0.0326,0.8542 ± 0.0324,0.8567 ± 0.0309,0.85 ± 0.0301,0.8431 ± 0.0349,0.854 ± 0.0282,0.8488 ± 0.0335
phoneme,0.8537 ± 0.0138,0.8595 ± 0.0131,0.8567 ± 0.0142,0.8553 ± 0.0112,0.8572 ± 0.0151,0.839 ± 0.0126,0.8541 ± 0.0123,0.8542 ± 0.0117
pol,0.9836 ± 0.0043,0.9836 ± 0.0048,0.9807 ± 0.0041,0.9851 ± 0.0045,0.9729 ± 0.0052,0.8142 ± 0.0127,0.9831 ± 0.0037,0.8788 ± 0.0159
socmob,951.5771 ± 625.9699,978.2918 ± 639.0492,966.1635 ± 626.2382,963.806 ± 630.1911,959.6131 ± 627.3129,988.4587 ± 669.3337,963.806 ± 630.1911,963.806 ± 630.1911
splice,0.8607 ± 0.016,0.8622 ± 0.0198,0.8602 ± 0.0187,0.8649 ± 0.0148,0.8649 ± 0.0148,0.8649 ± 0.0148,0.8649 ± 0.0148,0.8649 ± 0.0148
vehicle,0.8222 ± 0.0493,0.8216 ± 0.0468,0.8074 ± 0.0497,0.8253 ± 0.0507,0.808 ± 0.0532,0.7469 ± 0.0664,0.829 ± 0.0502,0.8185 ± 0.0452
